row_type,preset_name,performance_match_id,status,sample_row_count,static_sample_row_count,nonstatic_sample_row_count,rpm_track_count,min_advance_ratio_j,max_advance_ratio_j,positive_thrust_row_count,negative_thrust_tail_row_count,min_negative_thrust_advance_ratio_j,nonpositive_power_coefficient_row_count,max_eta_formula_residual,ct_increase_step_count,ct_increasing_track_count,max_ct_increase,positive_power_preserved,eta_formula_consistent,ct_monotonic_with_tolerance,positive_thrust_envelope_covers_allowed_queries,shape_guard_passed,post_review_ct_cp_j_lookup_allowed,post_review_full_simulation_lookup_allowed,current_curve_fit_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_archive_curve_shape_review_source,source_fingerprint,archive.zip,READY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,compare-local-archive-hash-before-reviewed-import,archive identity and six csv entry hashes are already captured
propeller_archive_ct_cp_j_archive_curve_shape_review_source,dataset_triage,archive.zip,READY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,triage records 27495 CT CP eta rows and 2316 geometry station rows
propeller_archive_ct_cp_j_archive_curve_shape_review_source,lookup_seed,User-Propeller-Archive-CT-CP-J-Lookup-Seed-Packet,BLOCKED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,seed rows define current preset propeller matches
propeller_archive_ct_cp_j_archive_curve_shape_review_source,query_envelope,User-Propeller-Archive-CT-CP-J-Lookup-Query-Envelope-Packet,READY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,query J and RPM coordinates define allowed positive thrust envelope checks
propeller_archive_ct_cp_j_archive_curve_shape_review_source,archive_lookup_grid_coverage,User-Propeller-Archive-CT-CP-J-Archive-Lookup-Grid-Coverage-Packet,READY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,sparse rpm track topology feeds this curve shape review
propeller_archive_ct_cp_j_archive_curve_shape_review_source,scattered_surface_fit_contract,User-Propeller-Archive-CT-CP-J-Scattered-Surface-Fit-Contract-Packet,BLOCKED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,fit-scattered-ct-cp-j-surface-before-direct-lookup-binding,surface fit consumes only reviewed shape checked curves
propeller_archive_ct_cp_j_archive_curve_shape_review_source,raw_row_boundary,user_supplied_archive_zip,BLOCKED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,raw archive rows stay outside repository
propeller_archive_ct_cp_j_archive_curve_shape_review_source,runtime_boundary,DronePhysics,READY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,shape review cannot mutate runtime or gameplay
propeller_archive_ct_cp_j_archive_curve_shape_review_curve,racingQuad,da4052 5.0x3.75 - 3,SOURCE_REVIEW_REQUIRED,63,14,49,18,0.0,0.812815,58,5,0.758639,0,0.00027500814692071884,0,0,0.0,true,true,true,true,true,true,true,false,false,false,review-source-license-then-fit-positive-thrust-ct-cp-j-surfaces,positive CP eta consistency and CT monotonic guards pass but source review still blocks use
propeller_archive_ct_cp_j_archive_curve_shape_review_curve,apDrone,da4052 5.0x3.75 - 3,SOURCE_REVIEW_REQUIRED,63,14,49,18,0.0,0.812815,58,5,0.758639,0,0.00027500814692071884,0,0,0.0,true,true,true,true,true,true,true,false,false,false,review-source-license-then-fit-positive-thrust-ct-cp-j-surfaces,shares racingQuad archive curve and remains source review blocked
propeller_archive_ct_cp_j_archive_curve_shape_review_curve,cinewhoop,gwsdd 3.0x3.0 - 2,COVERAGE_BLOCKED,103,13,90,18,0.0,1.067438,94,9,0.956164,0,0.0004755449264837175,0,0,0.0,true,true,true,false,false,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,two blade archive match cannot seed current three blade cinewhoop lookup
propeller_archive_ct_cp_j_archive_curve_shape_review_curve,heavyLift,ancf 10.0x5.0 - 2,PERFORMANCE_ONLY_SOURCE_REVIEW_REQUIRED,128,14,114,20,0.0,0.667043,84,44,0.614319,0,0.00007780270707657966,1,1,0.000071,true,true,true,true,true,true,false,false,false,false,review-source-license-fit-performance-surface-and-resolve-geometry,shape guards pass for performance fit but full simulation geometry remains blocked
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,preset_row_count,4,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,inspect-preset-curve-shape-rows,four current DroneConfig preset rows are represented
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,unique_performance_curve_count,3,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,deduplicate-shared-da4052-curve,racingQuad and apDrone share the same da4052 archive curve
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,post_review_ct_cp_j_candidate_count,3,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,review-source-license-then-fit-candidate-curves,three preset rows could feed CT CP J after source review
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,post_review_full_simulation_candidate_count,2,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,resolve-full-simulation-coverage,racingQuad and apDrone have full simulation coverage after review
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,performance_only_candidate_count,1,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,resolve-heavy-lift-reviewed-geometry-before-openfoam-mesh,heavyLift remains performance only until geometry coverage exists
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,shape_guard_passed_count,3,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,review-source-license-then-fit-positive-thrust-ct-cp-j-surfaces,three candidate rows pass positive CP eta and CT shape guards
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,coverage_blocked_count,1,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,resolve-cinewhoop-three-blade-coverage-or-correction,cinewhoop remains blade count blocked
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,negative_thrust_tail_preset_count,4,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,keep-positive-thrust-envelope-and-extrapolation-guards,every selected curve has high J negative thrust tail rows
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,unique_negative_thrust_tail_row_count,58,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,keep-positive-thrust-envelope-and-extrapolation-guards,three unique curves contain 58 high J negative thrust tail rows
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,max_eta_formula_residual,0.0004755449264837175,ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,preserve-eta-consistency-gate,maximum absolute eta minus J CT over CP residual across selected curves
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,max_ct_increase,0.000071,coefficient,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,preserve-ct-monotonic-tolerance,largest CT increase step stays inside tolerance
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,current_curve_fit_allowed_count,0,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,current source review blocks every curve fit
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,runtime_coupling_allowed_count,0,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,keep-runtime-coupling-closed,no curve shape row opens runtime coupling
propeller_archive_ct_cp_j_archive_curve_shape_review_summary,all,gameplay_auto_apply_allowed_count,0,count,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false,false,false,false,false,false,false,false,keep-gameplay-auto-apply-closed,no curve shape row opens gameplay auto apply
