row_type,dataset_id,dataset_version,doi,source_page,folder_path,filename,file_id,size_bytes,size_mib,content_type,status,download_url,usefulness
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P01_Phisital Mark 5 Analogic VTX.pdf,911a677b-5006-4507-bf9b-8c1ceef38fc9,2575016,2.4557266235351562,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/911a677b-5006-4507-bf9b-8c1ceef38fc9/file_downloaded,documentation_or_datasheet
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P02_Foxeer Donut 5145.pdf,138bc5e6-0680-4d84-9a25-4bd96d9deebb,538591,0.5136404037475586,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/138bc5e6-0680-4d84-9a25-4bd96d9deebb/file_downloaded,documentation_or_datasheet
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P03_2507 1800KV Brushless Motor.pdf,1608c764-78b5-4444-a5d3-2669545fd60e,1392452,1.3279457092285156,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/1608c764-78b5-4444-a5d3-2669545fd60e/file_downloaded,documentation_or_datasheet
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P04_Imax B6 V3 Balance Charger 80W.pdf,5fc8a7ee-489d-4769-b314-ed460822799e,3900086,3.719411849975586,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/5fc8a7ee-489d-4769-b314-ed460822799e/file_downloaded,documentation_or_datasheet
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P05_Eachine EV800D Headset.pdf,c6cd3f20-28cd-40f9-9d77-1f4c6ca27be3,2472572,2.3580284118652344,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/c6cd3f20-28cd-40f9-9d77-1f4c6ca27be3/file_downloaded,documentation_or_datasheet
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P06_Pocket Radio Controller (M2).pdf,05537efa-01b8-4f17-95e1-e8c09a392004,8454328,8.062675476074219,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/05537efa-01b8-4f17-95e1-e8c09a392004/file_downloaded,documentation_or_datasheet
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P07_Foxeer Pagoda Pro 5.8 GHz 3dBi Omni RHCP.pdf,2ba7595b-fbc8-494e-9c01-5bdec9de2580,1280935,1.2215948104858398,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/2ba7595b-fbc8-494e-9c01-5bdec9de2580/file_downloaded,documentation_or_datasheet
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P08_Zeee 4S 1500mAh 14.8V 100C Lipo Battery.pdf,e2cc14c7-b433-4bc8-b9fb-a40bb9c77e55,5146782,4.908353805541992,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/e2cc14c7-b433-4bc8-b9fb-a40bb9c77e55/file_downloaded,documentation_or_datasheet
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P09_Foxeer Reaper F4 128K 65A BL32 4in1 ESC.pdf,3ccd8d45-ed0f-4f14-b255-13c764f35223,1134597,1.082036018371582,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/3ccd8d45-ed0f-4f14-b255-13c764f35223/file_downloaded,documentation_or_datasheet
apdrone_mendeley_file_inventory,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,Datasheet of All Components,P10_Foxeer F722 V4 Flight Con- troller MPU6000 8S.pdf,8d00a403-10db-40bc-8553-e3452f8b2647,1778043,1.695673942565918,application/pdf,COMPLETED,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/8d00a403-10db-40bc-8553-e3452f8b2647/file_downloaded,documentation_or_datasheet
