row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,peak_sample_index,peak_time_seconds,equivalent_advance_ratio_j,archive_advance_ratio_max,archive_coverage_ratio,current_formula_thrust_scale,archive_interpolated_ct_ratio,formula_minus_archive_ct_ratio,absolute_formula_archive_scale_gap,formula_archive_gap_within_tolerance,neutral_average_propeller_thrust_scale,derated_average_propeller_thrust_scale,neutral_to_derated_propeller_scale_drop,drop_over_formula_archive_gap,target_pitch_inches,matched_pitch_inches,pitch_mismatch_ratio,target_blade_count,matched_blade_count,blade_count_matches,source_license_review_required,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic_source,dataset_triage,all,all,all,source_description,PropellerArchiveDatasetTriage,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,false,false,false,READY,archive triage supplies DA4052 match and source-license boundary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveDatasetTriage.java,source_reference,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic_source,compact_reference,all,all,all,source_description,PropellerArchiveCompactReferenceTable,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,false,false,false,BLOCKED,compact reference rows remain export-disabled while handoff is blocked,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCompactReferenceTable.java,source_reference,APDrone match is DA4052 5x3.75 three-blade
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic_source,config_delta,all,all,all,source_description,PropellerArchiveRotorSpecConfigDeltaReport,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,false,false,false,BLOCKED,config delta keeps APDrone rotor-spec candidate review material blocked,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecConfigDeltaReport.java,current_config_delta,do not mutate DroneConfig from this diagnostic
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic_source,settled_breakdown,all,all,all,source_description,SettledThrustModelBreakdownDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,false,false,false,BLOCKED,settled breakdown supplies APDrone peak sample timing and propeller-scale drop,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,upstream_diagnostic,all APDrone rows remain over contract
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic_source,drone_physics,all,all,all,source_description,DronePhysics.forwardAdvanceThrustScale,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,false,false,false,READY,current forward-advance formula is compared against compact DA4052 CT ratio,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,simulation_formula,no behavior change is applied
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic_source,runtime_leak_guard,all,all,all,source_description,ForwardAdvanceScaleGapDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,false,false,false,READY,diagnostic rows do not enable runtime coupling playable export or gameplay auto apply,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardAdvanceScaleGapDiagnostic.java,leak_guard,lab evidence only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,0.0,absolute_formula_archive_scale_gap,0.021204023963096,ratio,255,1.28,0.6196449608574244,0.8128,0.7623584656218312,0.22340652197815625,0.244610545941252,-0.021204023963096,0.021204023963096,true,0.462226361919815,0.359523860617203,0.102702501302612,4.843538258651253,4.5,3.75,0.8333333333333334,3,3,true,true,false,false,false,BLOCKED,propeller-scale-drop-exceeds-formula-archive-gap,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardAdvanceScaleGapDiagnostic.java,gap_row,static full-throttle cold-air peak
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,8.0,absolute_formula_archive_scale_gap,0.037703141945013896,ratio,211,1.06,0.504316176789821,0.8128,0.620467737192201,0.491641741335917,0.453938599390903,0.037703141945013896,0.037703141945013896,true,0.558488512847153,0.552132860795264,0.006355652051888,0.168570886244906,4.5,3.75,0.8333333333333334,3,3,true,true,false,false,false,BLOCKED,advance-scale-formula-gap-is-not-dominant-blocker,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardAdvanceScaleGapDiagnostic.java,gap_row,lowest APDrone over-contract row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,16.0,absolute_formula_archive_scale_gap,0.026958215072066,ratio,217,1.09,0.389415220798796,0.8128,0.479103372045762,0.619089954471093,0.646048169543159,-0.026958215072066,0.026958215072066,true,0.811562029491119,0.705934082245442,0.105627947245677,3.918209976562119,4.5,3.75,0.8333333333333334,3,3,true,true,false,false,false,BLOCKED,propeller-scale-drop-exceeds-formula-archive-gap,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardAdvanceScaleGapDiagnostic.java,gap_row,mid-speed settled peak
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,22.0,absolute_formula_archive_scale_gap,0.035787123028792944,ratio,345,1.73,0.41060023103148124,0.8128,0.505167607076133,0.576408656732182,0.612195779760975,-0.035787123028792944,0.035787123028792944,true,0.715750023950538,0.649160172139802,0.06658985181073551,1.860721012895054,4.5,3.75,0.8333333333333334,3,3,true,true,false,false,false,BLOCKED,propeller-scale-drop-exceeds-formula-archive-gap,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardAdvanceScaleGapDiagnostic.java,gap_row,blackbox forward-punchout speed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_forward_advance_scale_gap_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,28.0,absolute_formula_archive_scale_gap,0.032397383446661,ratio,277,1.39,0.486318793795648,0.8128,0.598325287642283,0.517269427846739,0.484872044400078,0.032397383446661,0.032397383446661,true,0.825110900679365,0.628714586706149,0.19639631397321566,6.062104191116544,4.5,3.75,0.8333333333333334,3,3,true,true,false,false,false,BLOCKED,propeller-scale-drop-exceeds-formula-archive-gap,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardAdvanceScaleGapDiagnostic.java,gap_row,largest propeller-scale drop row
