row_type,source_scope,source_page,doi,local_source_file,local_image_file,metric,value,unit,note,item,prop,throttle_percent,voltage_v,current_a,power_w,thrust_g,thrust_n,efficiency_g_per_w,operating_temperature_c,motor_kv_rpm_per_v,ideal_no_load_rpm_at_measured_voltage,project_required_rpm_if_k_1p45e_minus_6,project_required_rpm_over_no_load_rpm,no_load_rpm_based_k_lower_bound,apdrone_project_max_rotor_thrust_n,thrust_over_project_max_rotor_thrust,current_over_project_apdrone_pack_limit,max_table_thrust_g,max_table_thrust_n,max_table_voltage_v,max_table_current_a,max_table_power_w,max_table_efficiency_g_per_w,project_max_rotor_thrust_n,project_max_over_table_max,table_max_over_project_max,fit_scope,fit_target,fit_model,fit_coefficient_a,fit_exponent_b,fit_log_r2,fit_rms_relative_error,fit_sample_count,fit_thrust_min_n,fit_thrust_max_n,fit_observed_min,fit_observed_max,operating_point,per_motor_thrust_n,total_thrust_n,total_thrust_over_apdrone_weight,predicted_current_per_motor_a,predicted_current_total_a,predicted_power_per_motor_w,predicted_power_total_w,current_over_project_pack_limit,thrust_range_context,scenario,current_observation,observed_current_total_a,observed_current_per_motor_a,inferred_per_motor_thrust_n_from_current_fit,inferred_total_thrust_n_from_current_fit,inferred_total_thrust_over_apdrone_weight,current_range_context,motor_resistance_ohm,voltage_drop_i_times_r_v,estimated_back_emf_v,kv_source,kv_rpm_per_v,estimated_loaded_rpm,estimated_loaded_omega_rad_s,estimated_thrust_coefficient_n_per_rad_s2,project_apdrone_thrust_coefficient,project_k_over_estimated_k,estimated_k_over_project_k,sample_count,estimated_k_mean,estimated_k_min,estimated_k_max,project_k_over_estimated_k_mean,estimated_k_mean_over_project_k,summary_scope
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,brand,YSIDO,,Spanish product/spec page in APdrone PDF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,article_name,2507 1800KV 3-5S brushless motor,,Spanish page heading/specification text.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,kv,1800.0,rpm_per_v,Page 1 and page 3 list 1800KV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,lipo_cell_support,3-5S,LiPo cells,Page 1/page 3 specification.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,height_mm,20.5,mm,Page 1 specification line.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,width_mm,30.5,mm,Page 1 specification line.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,shaft_diameter_mm,5.0,mm,Page 1 specification line.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,cable_length_mm,115.0,mm,Page 1 specification line.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,weight_g_page1,43.2,g,Page 1 specification line.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_1_image_1.png,max_thrust_g_page1,1488.0,g,Page 1 Spanish page lists maximum thrust 1488G with 4S/5S note.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,idle_current_10v_a,0.89,A,Page 3 table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,weight_g_page3,39.0,g,Page 3 table; conflicts with page 1 43.2 g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,max_continuous_current_a,42.0,A,Page 3 table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,max_continuous_power_w,840.0,W,Page 3 table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,max_thrust_g_page3,1488.0,g,Page 3 table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,configuration,12N14P,,Page 3 table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,motor_resistance_ohm,0.0586,ohm,Page 3 table lists RM.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,stator_diameter_mm,25.0,mm,Page 3 table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,stator_thickness_mm,7.0,mm,Page 3 table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_motor_pdf_spec,apdrone_image_only_motor_pdf_manual_transcription,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/P03_2507 1800KV Brushless Motor.pdf,docs/data/raw/apdrone_zgsvdtxnfh_v2/component_datasheets/extracted_motor_pdf_images/page_3_image_1.jpg,motor_diameter_mm,30.8,mm,Page 3 table and page 2 drawing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
