row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,fault_class,severity,speed,channel,factor
dronepropb_stratified_packet_source_inventory,dronepropb_stratified_sample,dataset_name,DronePropB: Ground Testing Dataset for Commercial Drones with Defective Propellers,text,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/datasets/xkvfjmm8zg/1,source_inventory,Mendeley dataset title.,,,,,
dronepropb_stratified_packet_source_inventory,dronepropb_stratified_sample,file_count,111,files,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/datasets/xkvfjmm8zg/1,source_inventory,Full public inventory file count.,,,,,
dronepropb_stratified_packet_source_inventory,dronepropb_stratified_sample,full_inventory_size,570546367,bytes,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/datasets/xkvfjmm8zg/1,source_inventory,Full public inventory size; full zip is not required for this stratified sample.,,,,,
dronepropb_stratified_packet_source_inventory,dronepropb_stratified_sample,selected_file_count,26,files,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/datasets/xkvfjmm8zg/1,source_inventory,"Stratified sample count across speed, channel, fault class, and severity.",,,,,
dronepropb_stratified_packet_source_inventory,dronepropb_stratified_sample,selected_file_size,88062625,bytes,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/datasets/xkvfjmm8zg/1,source_inventory,Total size of selected public files.,,,,,
dronepropb_stratified_packet_source_inventory,dronepropb_stratified_sample,cached_selected_file_size,88062625,bytes,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/datasets/xkvfjmm8zg/1,source_inventory,Total local size after download/cache reuse.,,,,,
dronepropb_stratified_packet_source_inventory,dronepropb_stratified_sample,selected_size_over_full_inventory,0.154347884928,ratio,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/datasets/xkvfjmm8zg/1,source_inventory,Cache budget fraction versus full public file tree.,,,,,
dronepropb_stratified_packet_selected_file,F0_SV0_SP1_C3_R1.mat,fault_class,0,class,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/public-files/datasets/xkvfjmm8zg/files/ac06b816-a36f-4a16-8414-346462697c91/file_downloaded,selected_file_inventory,"Filename fields follow F=fault, SV=severity, SP=speed, C=channel, R=repeat.",,,,,
dronepropb_stratified_packet_selected_file,F0_SV0_SP1_C3_R1.mat,severity,0,level,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/public-files/datasets/xkvfjmm8zg/files/ac06b816-a36f-4a16-8414-346462697c91/file_downloaded,selected_file_inventory,"Filename fields follow F=fault, SV=severity, SP=speed, C=channel, R=repeat.",,,,,
dronepropb_stratified_packet_selected_file,F0_SV0_SP1_C3_R1.mat,speed,1,level,docs/data/raw/dronepropb_xkvfjmm8zg_v1_sample/dronepropb_file_inventory.json,https://data.mendeley.com/public-files/datasets/xkvfjmm8zg/files/ac06b816-a36f-4a16-8414-346462697c91/file_downloaded,selected_file_inventory,"Filename fields follow F=fault, SV=severity, SP=speed, C=channel, R=repeat.",,,,,
