row_type,name,metric,value,unit,source_file,source_url,source_row_type,evidence_level,note
airframe_drag_packet_source_inventory,IMAV_2022_quad_linear_drag,mass_min_kg,0.547,kg,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,reference_imav_quad_linear_drag,paper_drag_fit,IMAV reports D=kV for 5-inch three-blade quads; converted into quadratic force targets by speed.
airframe_drag_packet_source_inventory,IMAV_2022_quad_linear_drag,mass_max_kg,1.067,kg,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,reference_imav_quad_linear_drag,paper_drag_fit,IMAV reports D=kV for 5-inch three-blade quads; converted into quadratic force targets by speed.
airframe_drag_packet_source_inventory,IMAV_2022_quad_linear_drag,speed_min_m_s,2.5,m/s,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,reference_imav_quad_linear_drag,paper_drag_fit,IMAV reports D=kV for 5-inch three-blade quads; converted into quadratic force targets by speed.
airframe_drag_packet_source_inventory,IMAV_2022_quad_linear_drag,speed_max_m_s,12.5,m/s,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,reference_imav_quad_linear_drag,paper_drag_fit,IMAV reports D=kV for 5-inch three-blade quads; converted into quadratic force targets by speed.
airframe_drag_packet_source_inventory,IMAV_2022_quad_linear_drag,row_count,25,count,docs/data/airframe_drag_reference.csv,https://www.imavs.org/papers/2022/4.pdf,reference_imav_quad_linear_drag,paper_drag_fit,IMAV reports D=kV for 5-inch three-blade quads; converted into quadratic force targets by speed.
airframe_drag_packet_source_inventory,NASA_Fig30_bare_airframe_small_quad,sample_count,5,count,docs/data/airframe_drag_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,reference_nasa_bare_airframe_dragq_summary,wind_tunnel_lower_bound,"Median of low-precision 0 deg small-quad bare-airframe Drag/q points from NASA Fig. 30. This is a bare-airframe reference, not powered rotor/body interaction drag."
airframe_drag_packet_source_inventory,NASA_Fig30_bare_airframe_small_quad,drag_over_q_ft2_median,0.225,ft^2,docs/data/airframe_drag_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,reference_nasa_bare_airframe_dragq_summary,wind_tunnel_lower_bound,"Median of low-precision 0 deg small-quad bare-airframe Drag/q points from NASA Fig. 30. This is a bare-airframe reference, not powered rotor/body interaction drag."
airframe_drag_packet_source_inventory,NASA_Fig30_bare_airframe_small_quad,equivalent_cda_m2_median,0.020903184,m^2,docs/data/airframe_drag_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,reference_nasa_bare_airframe_dragq_summary,wind_tunnel_lower_bound,"Median of low-precision 0 deg small-quad bare-airframe Drag/q points from NASA Fig. 30. This is a bare-airframe reference, not powered rotor/body interaction drag."
airframe_drag_packet_source_inventory,NASA_Fig30_bare_airframe_small_quad,drag_force_10m_s_n_median,1.28032002,N,docs/data/airframe_drag_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,reference_nasa_bare_airframe_dragq_summary,wind_tunnel_lower_bound,"Median of low-precision 0 deg small-quad bare-airframe Drag/q points from NASA Fig. 30. This is a bare-airframe reference, not powered rotor/body interaction drag."
airframe_drag_packet_source_inventory,NASA_powered_full_airframe_small_quad,sample_count,3,count,docs/data/airframe_drag_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,reference_nasa_powered_full_airframe_drag_summary,wind_tunnel_powered_drag,"Median of one mid-RPM 0 deg powered full-airframe drag point per small quad from NASA Figs. 18, 20, and 22. Treat as a low-speed powered-body order anchor."
airframe_drag_packet_source_inventory,NASA_powered_full_airframe_small_quad,drag_force_n_median,1.60135978149,N,docs/data/airframe_drag_reference.csv,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,reference_nasa_powered_full_airframe_drag_summary,wind_tunnel_powered_drag,"Median of one mid-RPM 0 deg powered full-airframe drag point per small quad from NASA Figs. 18, 20, and 22. Treat as a low-speed powered-body order anchor."
