row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,post_review_satisfied,numerical_budget_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_openfoam_numerical_budget_source,openfoam_run_setup,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Run-Setup-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,run_setup,true,true,true,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,READY,run setup supplies dimensional speed geometry Mach and Reynolds inputs
propeller_archive_ct_cp_j_openfoam_numerical_budget_source,openfoam_case_manifest,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Case-Manifest-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamCaseManifest.java,case_manifest,true,true,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,READY,manifest supplies six geometry-backed external case rows
propeller_archive_ct_cp_j_openfoam_numerical_budget_source,openfoam_result_contract,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Result-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamResultContract.java,result_contract,true,true,true,false,false,false,extract-ct-cp-eta-from-openfoam-force-power-results,READY,numerical budget protects later coefficient extraction quality
propeller_archive_ct_cp_j_openfoam_numerical_budget_source,openfoam_dimensional_residual_contract,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Dimensional-Residual-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamDimensionalResidualContract.java,si_result_contract,true,true,true,false,false,false,run-external-openfoam-si-residual-extraction,READY,numerical budget protects later wake and SI residual extraction
propeller_archive_ct_cp_j_openfoam_numerical_budget_source,openfoam_dev_repository,source_url,https://github.com/OpenFOAM/OpenFOAM-dev,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,external_solver_source,true,true,true,false,false,false,keep-openfoam-code-out-of-repository,READY,external CFD source reference only
propeller_archive_ct_cp_j_openfoam_numerical_budget_source,rotor_spec_geometry,source_id,RotorSpec,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/RotorSpec.java,rotor_geometry,true,true,true,false,false,false,author-openfoam-near-blade-mesh-budget,READY,rotor radius diameter and representative chord drive mesh scale
propeller_archive_ct_cp_j_openfoam_numerical_budget_source,standard_air_reference,source_id,standard-density-viscosity-speed-of-sound,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,air_reference,true,true,true,false,false,false,keep-air-reference-visible-in-openfoam-results,READY,air reference is explicit for Mach Reynolds and coefficient normalization
propeller_archive_ct_cp_j_openfoam_numerical_budget_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,leak_guard,true,true,true,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,numerical budget cannot alter runtime physics or playable tuning
propeller_archive_ct_cp_j_openfoam_numerical_budget_rule,run_setup_required,requirement,consume only manifest-backed OpenFOAM run setup rows,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,numerical_rule,true,true,true,false,false,false,keep-openfoam-run-setup-current,READY,run setup rows are the only inputs
propeller_archive_ct_cp_j_openfoam_numerical_budget_rule,incompressible_tip_mach_budget,requirement,require helical tip Mach at or below 0.30 before using incompressible steady rotor cases,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,numerical_rule,true,true,true,false,false,false,review-openfoam-compressibility-assumption,READY,all current setup rows are below the Mach limit
propeller_archive_ct_cp_j_openfoam_numerical_budget_rule,near_blade_cell_budget,requirement,target near-blade cell size no coarser than D/128 before force or torque extraction,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,numerical_rule,true,true,true,false,false,false,author-openfoam-near-blade-mesh-budget,READY,near blade scale is explicit per propeller diameter
propeller_archive_ct_cp_j_openfoam_numerical_budget_rule,wake_core_cell_budget,requirement,target wake-core cell size no coarser than D/48 for induced-velocity and momentum-power checks,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,numerical_rule,true,true,true,false,false,false,author-openfoam-wake-core-mesh-budget,READY,wake core scale is explicit per propeller diameter
propeller_archive_ct_cp_j_openfoam_numerical_budget_rule,courant_timestep_budget,requirement,limit timestep by blade-cell Courant freestream Courant and two-degree azimuth advance,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,numerical_rule,true,true,true,false,false,false,bind-openfoam-deltaT-to-run-setup-budget,READY,suggested timestep is blade-cell Courant limited for all six rows
propeller_archive_ct_cp_j_openfoam_numerical_budget_rule,domain_padding_budget,requirement,use at least 8D radial 4D upstream and 12D downstream padding around the rotor,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,numerical_rule,true,true,true,false,false,false,author-openfoam-domain-padding-budget,READY,domain padding is derived from current propeller diameter
propeller_archive_ct_cp_j_openfoam_numerical_budget_rule,low_reynolds_model_review,requirement,flag 0.75R chord Reynolds below 10000 for laminar or transition-model review,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,numerical_rule,true,false,true,false,false,false,review-low-reynolds-static-anchor-openfoam-model,BLOCKED,two static anchors require low Reynolds model review
propeller_archive_ct_cp_j_openfoam_numerical_budget_rule,no_runtime_or_gameplay_auto_apply,requirement,numerical budgets are offline CFD authoring evidence only,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,leak_guard,true,true,true,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,numerical budget has no runtime or playable mutation authority
propeller_archive_ct_cp_j_openfoam_numerical_budget,racingQuad,static_anchor_low_rpm,case_key=racingQuad/static_anchor_low_rpm;Mach=0.02887791941122053;Re75=4793.703209742471;nearCell=9.921875E-4;dt=5.048306913948163E-5;stepsPerRev=804.247719318987;lowReReview=true,numerical_budget,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,external_case_budget,true,false,true,true,false,false,review-low-reynolds-static-anchor-openfoam-model,BLOCKED,numerical budget is computable but static-anchor Reynolds requires transition or laminar-model review
propeller_archive_ct_cp_j_openfoam_numerical_budget,racingQuad,mid_domain_mid_rpm,case_key=racingQuad/mid_domain_mid_rpm;Mach=0.09285008363845466;Re75=15511.35283589175;nearCell=9.921875E-4;dt=1.5701073656731147E-5;stepsPerRev=810.9490629530022;lowReReview=false,numerical_budget,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,external_case_budget,true,false,true,true,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,BLOCKED,numerical budget is computable but external case hash and solver output remain absent
