row_type,scenario_name,preset_name,ambient_temperature_celsius,ambient_humidity,air_density_ratio,dynamic_viscosity_ratio,representative_blade_chord_meters,current_hover_reynolds_number,candidate_hover_reynolds_number,current_max_reynolds_number,candidate_max_reynolds_number,current_hover_low_reynolds_index,candidate_hover_low_reynolds_index,current_max_low_reynolds_index,candidate_max_low_reynolds_index,candidate_hover_low_reynolds_loss,candidate_max_low_reynolds_loss,hover_reynolds_number_floor,low_reynolds_index_floor,low_reynolds_loss_limit,candidate_hover_reynolds_within_budget,candidate_hover_low_reynolds_index_within_budget,candidate_max_low_reynolds_index_within_budget,candidate_low_reynolds_loss_within_budget,reynolds_budget_accepted,tip_mach_compressibility_review_required,manual_patch_review_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_reynolds_budget_source,source_fingerprint,source_description,,,,,,,,,,PropellerArchiveSourceFingerprint identifies archive identity before reviewed import.,text,,,,,,,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_reynolds_budget_source,tip_mach_budget_gate,source_description,,,,,,,,,,PropellerArchiveRotorSpecRetuneTipMachBudgetGate supplies only tip-Mach-accepted candidates for this Reynolds pass.,text,,,,,,,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneTipMachBudgetGate.java,upstream_gate,compressibility review flags are carried forward
propeller_archive_rotor_spec_retune_reynolds_budget_source,drone_physics,source_description,,,,,,,,,,DronePhysics records rotor Reynolds number Reynolds index and low Reynolds loss from representative blade chord and dry or moist air viscosity.,text,,,,,,,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,runtime_formula,offline budget mirrors the low-Re proxy
propeller_archive_rotor_spec_retune_reynolds_budget_source,rotor_spec,source_description,,,,,,,,,,RotorSpec.representativeBladeChordMeters supplies the blade chord used by the runtime Reynolds proxy.,text,,,,,,,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/RotorSpec.java,blade_geometry,keeps retune gate and runtime recorder on the same chord basis
propeller_archive_rotor_spec_retune_reynolds_budget_source,budget_limits,source_description,,,,,,,,,,Hover Reynolds floor is 30000 low-Reynolds index floor is 1.05 and candidate low-Re loss limit is 0.02 for pre-patch retune review.,text,,,,,,,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneReynoldsBudgetGate.java,budget_thresholds,accepted rows may still carry tip-Mach compressibility review
propeller_archive_rotor_spec_retune_reynolds_budget_source,runtime_boundary,source_description,,,,,,,,,,Reynolds budget gate never enables direct config patching runtime coupling or gameplay auto apply.,text,,,,,,,,,,,,,,,,,,,,READY,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneReynoldsBudgetGate.java,leak_guard,audit material only
propeller_archive_rotor_spec_retune_reynolds_budget_scenario,current_retune_validation_blocked,validation_acceptance_ready,,,,,,,,false,boolean,,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneReynoldsBudgetGate.java,current_reynolds_budget,current validation rows are not planned
propeller_archive_rotor_spec_retune_reynolds_budget_scenario,current_retune_validation_blocked,tip_mach_budget_available,,,,,,,,false,boolean,,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneReynoldsBudgetGate.java,current_reynolds_budget,no upstream tip Mach rows
propeller_archive_rotor_spec_retune_reynolds_budget_scenario,current_retune_validation_blocked,reynolds_budget_available,,,,,,,,false,boolean,,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneReynoldsBudgetGate.java,current_reynolds_budget,no Reynolds budget rows
propeller_archive_rotor_spec_retune_reynolds_budget_scenario,current_retune_validation_blocked,budget_row_count,,,,,,,,0,count,,,,,,,,,,,,,,,,,,,,BLOCKED,validation-run-not-planned,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneReynoldsBudgetGate.java,current_reynolds_budget,no budget rows
