row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,dimensional_support_ready,dimensional_reference_reviewed,openfoam_solver_quality_contract_ready,reference_material_export_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,dimensional_support_gate,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Dimensional-Support-Gate-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamDimensionalSupportGate.java,dimensional_support,true,false,false,false,false,false,false,false,complete-openfoam-dimensional-support-gate,BLOCKED,SI OpenFOAM support remains upstream authority
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,dimensional_residual_contract,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Dimensional-Residual-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamDimensionalResidualContract.java,si_residual_contract,true,false,false,false,false,false,false,false,run-external-openfoam-si-residual-extraction,BLOCKED,SI residual evidence is required before reference material
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,openfoam_lookup_support_gate,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Lookup-Support-Gate-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamLookupSupportGate.java,coefficient_lookup_support,true,false,false,false,false,false,false,false,complete-reviewed-lookup-and-coefficient-openfoam-results,BLOCKED,coefficient-level lookup support cannot be skipped
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,openfoam_solver_quality_contract,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Solver-Quality-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityContract.java,cfd_solver_quality_contract,true,false,false,false,false,false,false,false,run-external-openfoam-solver-quality-qa-before-reference-handoff,BLOCKED,compact solver-quality QA is required before SI reference handoff
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,lookup_execution_contract,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupExecutionContract.java,execution_contract,true,false,false,false,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-reference-export,BLOCKED,handoff-aware lookup execution must pass before SI reference handoff
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,ct_cp_j_dimensional_rotor_response,source_id,User-Propeller-Archive-CT-CP-J-Dimensional-Rotor-Response-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJDimensionalRotorResponse.java,dimensional_response,true,false,false,false,false,false,false,false,complete-reviewed-ct-cp-j-lookup-before-dimensional-reference,BLOCKED,dimensioned rotor response supplies SI target fields
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,openfoam_result_contract,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Result-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamResultContract.java,coefficient_result_contract,true,false,false,false,false,false,false,false,compare-openfoam-ct-cp-eta-before-si-support,BLOCKED,coefficient residuals stay prerequisite evidence
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,openfoam_validation_plan,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Validation-Plan-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamValidationPlan.java,cfd_validation_plan,true,true,false,false,false,false,false,false,verify-runnable-openfoam-result-targets,READY,six geometry-backed OpenFOAM targets are planned
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,source_fingerprint,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,true,false,false,false,false,false,false,false,review-source-license-before-importing-raw-rows,BLOCKED,raw archive identity remains source-review blocked
propeller_archive_ct_cp_j_openfoam_dimensional_reference_handoff_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamDimensionalReferenceHandoff.java,leak_guard,true,true,false,false,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,this handoff cannot alter runtime physics
