row_type,name,source,preset,current_max_rpm,current_motor_tau_s,current_active_braking_strength,current_braking_tau_proxy_s,current_nominal_spinup_slew_rpm_s,current_braking_slew_proxy_rpm_s,note,decoded_log,motor_index,field_family,valid_sample_fraction,rpm_p95,rpm_max,max_50ms_positive_slew_rpm_s,max_50ms_negative_slew_rpm_s,max_50ms_abs_slew_rpm_s,observed_tau_equiv_current_max_positive_s,observed_tau_equiv_current_max_negative_s,observed_tau_equiv_log_max_abs_s,positive_slew_over_current_nominal_spinup,negative_slew_over_current_braking_proxy,current_max_rpm_over_decoded_rpm_max,motor_count,rpm_max_across_motors,max_positive_slew_rpm_s,max_negative_slew_rpm_s
current_model_reference,racingQuad motor response model,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,racingQuad,29137.63274949454,0.045,0.55,0.014062499999999999,647502.9499887676,2072009.4399640565,First-order proxy: max initial slew for a 0->max-RPM step is max_rpm/tau. Braking proxy mirrors the current ESC electrical calculation.,,,,,,,,,,,,,,,,,,,
decoded_motor_vs_current_model,PR12562 rpm_bb_stress_002 motor0,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 rpm_bb_stress_002,0,RPM,1.0,41666.666666666664,42916.666666666664,368622.9229707405,525477.7070063455,525477.7070063455,0.07904454914163693,0.0554497980808588,0.08167171717172089,0.5692992178292547,0.2536077765241557,0.6789351320270572,,,,
decoded_motor_vs_current_model,PR12562 rpm_bb_stress_002 motor1,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 rpm_bb_stress_002,1,RPM,1.0,31450.0,39216.666666666664,422638.00424629526,290936.8365180541,422638.00424629526,0.06894229211936743,0.10015106061581998,0.09279020408163029,0.6527198127107017,0.140412891421528,0.7429910603356025,,,,
decoded_motor_vs_current_model,PR12562 rpm_bb_stress_002 motor2,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 rpm_bb_stress_002,2,RPM,1.0,33783.333333333336,40816.666666666664,386207.99490363814,297897.467539793,386207.99490363814,0.07544544166353832,0.09781094478623706,0.10568571134020863,0.5964575063485622,0.14377225402262678,0.7138660534788372,,,,
decoded_motor_vs_current_model,PR12562 rpm_bb_stress_002 motor3,https://github.com/betaflight/betaflight/files/11072576/rpm_bb_stress.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 rpm_bb_stress_002,3,RPM,1.0,34016.666666666664,39833.333333333336,503271.0962485214,443223.58904945594,503271.0962485214,0.0578964954806505,0.06574025721867274,0.07914885959129898,0.7772491171773839,0.21391002400893724,0.7314886882718294,,,,
decoded_motor_vs_current_model,PR12562 almost stalled 010 motor0,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 almost stalled 010,0,eInterval,1.0,4789.272030651341,4844.961240310077,41441.06031141921,2177.863043148585,41441.06031141921,0.7031102131685945,13.379001421214081,0.116912096454613,0.06400134595855989,0.0010510874135719983,6.014007399495673,,,,
decoded_motor_vs_current_model,PR12562 almost stalled 010 motor1,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 almost stalled 010,1,eInterval,0.9958625079567155,3164.5569620253164,3238.3419689119173,33544.496559324616,2498.2292551039654,33544.496559324616,0.868626324379727,11.663314201435032,0.09653869639047336,0.05180593626624638,0.0012057036068075552,8.997700993043914,,,,
decoded_motor_vs_current_model,PR12562 almost stalled 010 motor2,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 almost stalled 010,2,eInterval,1.0,4528.985507246377,4578.754578754579,39377.29646556219,1919.429821854828,39377.29646556219,0.7399602147642906,15.180358467775386,0.11627904883614787,0.06081408040881556,0.0009263615236657053,6.363658992489608,,,,
decoded_motor_vs_current_model,PR12562 almost stalled 010 motor3,https://github.com/betaflight/betaflight/files/11116145/blackbox_rpm_new_format_010_almost_stalled.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 almost stalled 010,3,eInterval,1.0,2808.9887640449438,2834.467120181406,30408.46890511786,3079.841057362976,30408.46890511786,0.9582078216568992,9.460758593316108,0.09321308248125423,0.046962672379554975,0.0014864030047162344,10.279756834021674,,,,
decoded_motor_vs_current_model,PR12562 telemetry debug 011 motor0,https://github.com/betaflight/betaflight/files/11116146/blackbox_rpm_new_format_011_almost_stalled_rpm_telemetry_debug.zip,racingQuad,29137.63274949454,0.045,,0.014062499999999999,647502.9499887676,2072009.4399640565,"Uses decoded PR #12562 mechanical RPM. These are log-observed slews, not controlled bench step tests.",PR12562 telemetry debug 011,0,eInterval,0.9996175615725869,26455.026455026455,30303.030303030304,126883.09603313718,177192.7395481025,177192.7395481025,0.22964156503467464,0.16444033104180633,0.17101733615221829,0.19595755669582393,0.08551734182792926,0.9615418807333198,,,,
