row_type,scenario,label,filename,dataset_id,dataset_version,doi,source_page,download_url,local_source_file,extracted_csv_count,standard_air_density_kg_m3,note,speed_bin,speed_min_m_s,speed_max_m_s,flight_filename,sample_count,sample_duration_s,gps_speed_mean_m_s,gps_speed_p95_m_s,gps_speed_max_m_s,speed_squared_mean_m2_s2,mean_dynamic_pressure_pa,vbat_mean_v,vbat_min_v,current_mean_a_if_raw_per_amp_20,current_p95_a_if_raw_per_amp_20,current_max_a_if_raw_per_amp_20,rc_throttle_mean,rc_throttle_p95,rc_throttle_max,gyro_vector_rms,gyro_vector_p95,accel_vector_rms,accel_vector_p95,racingQuad_project_drag_x_at_mean_speed_n,racingQuad_project_drag_z_at_mean_speed_n,apDrone_project_drag_x_at_mean_speed_n,apDrone_project_drag_z_at_mean_speed_n
apdrone_open_field_speed_bin_metadata,open_field,Flight Data in Open Field,Flight Data in Open Field.rar,zgsvdtxnfh,2,10.17632/zgsvdtxnfh.2,https://data.mendeley.com/datasets/zgsvdtxnfh/2,https://data.mendeley.com/public-files/datasets/zgsvdtxnfh/files/6ac95d16-3516-437c-b7be-b3b18ebf1319/file_downloaded,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field_flight_data.rar,5,1.225,Speed bins use APdrone open-field Blackbox CSV rows. GPS_speed is interpreted as cm/s; current uses the raw_per_amp=20 capacity-consistency candidate.,,,,,,,,,,,,,,,,,,,,,,,,,,,
apdrone_open_field_speed_bin_flight,open_field,,,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_1.csv,,,Rows are grouped by GPS ground speed. These are not steady-state force-balance bins unless acceleration/wind/attitude are separately filtered.,0_to_2_m_s,0.0,2.0,Flight_1.csv,41409,20.668639999999954,0.740383250018112,1.75,1.97,0.9044657175976237,0.5539852520285445,15.733339612161608,15.4,7.054240624018933,11.1,15.6,37.6781110386631,53.1,59.4,17.8404181208797,39.45883931389772,2075.7423811497083,2256.968541943272,0.16506499346156633,0.1668739248967616,0.11016392440339057,0.11161106955154676
apdrone_open_field_speed_bin_flight,open_field,,,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_1.csv,,,Rows are grouped by GPS ground speed. These are not steady-state force-balance bins unless acceleration/wind/attitude are separately filtered.,2_to_5_m_s,2.0,5.0,Flight_1.csv,6429,3.208878000000027,2.663330222429616,4.5,4.53,7.622173697309068,4.668581389601805,15.583435993156012,13.86,10.943957069528699,18.5,86.35,51.685596515787836,65.06000000000003,67.2,122.77183501018688,243.66739571874953,3089.700431752517,3108.7748390644183,1.391046699758905,1.406291047153523,0.9283807563322445,0.940576234247939
apdrone_open_field_speed_bin_flight,open_field,,,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_1.csv,,,Rows are grouped by GPS ground speed. These are not steady-state force-balance bins unless acceleration/wind/attitude are separately filtered.,5_to_8_m_s,5.0,8.0,Flight_1.csv,2003,0.99971400000004,6.543444832750874,7.93,7.93,43.70471303045432,26.769136731153274,15.48833749375936,15.33,10.675486769845232,17.6,18.1,51.915926110833745,66.8,67.1,48.059368967784295,115.02043290082047,2231.987128141584,3102.553125466457,7.976110128057914,8.063519554118821,5.323234047109336,5.393161587958063
apdrone_open_field_speed_bin_flight,open_field,,,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_1.csv,,,Rows are grouped by GPS ground speed. These are not steady-state force-balance bins unless acceleration/wind/attitude are separately filtered.,8_to_12_m_s,8.0,12.0,Flight_1.csv,2800,1.3975059999999928,10.300828571428571,11.87,11.87,107.59584164285714,65.90245300625,15.500174999999999,15.34,9.416678571428571,16.0,16.85,49.61607142857143,62.9,63.0,39.79210707809133,91.20307012376283,2047.0870999160875,2674.6573233866206,19.636241099821426,19.851432783107143,13.105173512099999,13.27732685872857
apdrone_open_field_speed_bin_flight,open_field,,,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_1.csv,,,Rows are grouped by GPS ground speed. These are not steady-state force-balance bins unless acceleration/wind/attitude are separately filtered.,12_to_16_m_s,12.0,16.0,Flight_1.csv,4417,2.2045739999999796,13.522014942268507,15.17,15.86,183.8618523432194,112.61538456022188,15.479886800996152,15.24,9.715213946117274,19.0,20.85,50.778152592257186,67.3,67.5,92.78035730846601,258.4051077975184,2257.8855085372834,3722.7750085333173,33.55478805263754,33.92251175732398,22.39437361540412,22.688552579153274
apdrone_open_field_speed_bin_flight,open_field,,,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_1.csv,,,Rows are grouped by GPS ground speed. These are not steady-state force-balance bins unless acceleration/wind/attitude are separately filtered.,16_to_20_m_s,16.0,20.0,Flight_1.csv,198,0.09882400000000757,16.02,16.02,16.02,256.6404,157.192245,15.327979797979799,15.27,17.28939393939394,19.35,19.35,67.4,67.4,67.4,101.91930854624876,116.47338702420237,3827.1830873160984,3902.6470215347445,46.836873,47.3501538,31.258800719999996,31.669425359999998
apdrone_open_field_speed_bin_flight,open_field,,,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_2.csv,,,Rows are grouped by GPS ground speed. These are not steady-state force-balance bins unless acceleration/wind/attitude are separately filtered.,0_to_2_m_s,0.0,2.0,Flight_2.csv,19031,9.499722999999989,0.3863916767379539,1.63,1.75,0.44917695339183433,0.27512088395249856,16.205435342336187,15.73,6.200693605170511,11.1,12.5,32.00239609058904,54.5,54.6,20.357549582951577,33.54101966249684,2082.127545885428,2272.3507651768905,0.08197479399400977,0.08287314790079343,0.05470975292312542,0.055428436048552354
apdrone_open_field_speed_bin_flight,open_field,,,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_2.csv,,,Rows are grouped by GPS ground speed. These are not steady-state force-balance bins unless acceleration/wind/attitude are separately filtered.,2_to_5_m_s,2.0,5.0,Flight_2.csv,1801,0.8989660000000015,3.374136590782898,4.85,4.85,12.208577901166018,7.477753964464187,16.022431982232096,15.91,10.820627429205997,14.35,15.5,54.29289283731261,58.3,58.6,104.12413308938407,174.1952927033334,2244.271675429948,2561.3920043601292,2.228065466962798,2.2524826227651302,1.487004788362021,1.5065385130038866
apdrone_open_field_speed_bin_flight,open_field,,,,,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,,docs/data/raw/apdrone_zgsvdtxnfh_v2/flight_archives/open_field/Flight_2.csv,,,Rows are grouped by GPS ground speed. These are not steady-state force-balance bins unless acceleration/wind/attitude are separately filtered.,5_to_8_m_s,5.0,8.0,Flight_2.csv,1998,0.9972880000000117,6.302172172172172,7.92,7.92,40.57367897897898,24.851378374624627,15.947572572572573,15.86,13.865465465465466,15.5,16.1,60.95425425425426,61.8,61.9,51.15157850921107,81.3587371577191,2628.009761265225,2770.307744637769,7.404696413663664,7.485843771621622,4.94187409963964,5.006791986006006
