row_type,scenario,preset_or_metric,ambient_or_value,field_or_unit,metric,value,unit,before_derate_value,review_value,absolute_delta,ratio_review_over_before,limiting_budget,derate_target_within_budget,rpm_control_review_field,physics_budget_review_field,manual_derate_review_allowed,playable_reference_allowed,config_patch_allowed,runtime_coupling_allowed,gameplay_auto_apply_allowed,source_file,evidence_role,status,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint,reference,source_description,source_identity,text,,,,,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,READY,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review_source,derate_validation_acceptance_gate,source_description,DerateValidationAcceptanceGate,reference,source_description,accepted_result_gate,text,,,,,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateValidationAcceptanceGate.java,validation_acceptance,READY,manual review requires all planned cold-air results to pass
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review_source,derate_validation_matrix,source_description,DerateValidationMatrix,reference,source_description,planned_validation_rows,text,,,,,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateValidationMatrix.java,validation_plan,PENDING_VALIDATION,matrix stays offline and result keyed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review_source,derate_plan,source_description,DeratePlan,reference,source_description,cold_air_derate_targets,text,,,,,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDeratePlan.java,derate_target,PENDING_REVIEW,review rows reuse max RPM scale targets
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review_source,drone_config,source_description,DroneConfig,reference,source_description,config_boundary,text,,,,,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,config_target,READY,no config patch emitted
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review_source,runtime_boundary,source_description,RuntimeLeakGuard,reference,source_description,closed_runtime_boundary,text,,,,,,,,,,,,,,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,leak_guard,READY,playable config runtime and gameplay outputs stay closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,target_max_tip_mach,review_value,0.6371344703535363,Mach,0.6557591652396883,0.6371344703535363,0.018624694886151927,0.9715982698017734,reaction_torque_scale_limit,true,true,false,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,rpm_control_review,REVIEW_READY,target Mach review target
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,target_max_rpm_scale,review_value,0.9715982698017723,ratio,1.0,0.9715982698017723,0.02840173019822767,0.9715982698017723,reaction_torque_scale_limit,true,true,false,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,rpm_control_review,REVIEW_READY,max RPM scale review target
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,required_max_rpm_derate_percent,review_value,2.840173019822779,percent,0.0,2.840173019822779,2.840173019822779,0.0,reaction_torque_scale_limit,true,true,false,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,rpm_control_review,REVIEW_READY,max RPM derate percent review target
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,post_derate_thrust_loss_percent,review_value,9.761226035642207,percent,11.309908309581662,9.761226035642207,1.5486822739394555,0.8630685385285197,reaction_torque_scale_limit,true,false,true,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,physics_budget_review,REVIEW_READY,post derate thrust loss budget
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,post_derate_load_factor,review_value,0.20498574674848635,ratio,0.2375080745012149,0.20498574674848635,0.032522327752728536,0.8630685385285198,reaction_torque_scale_limit,true,false,true,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,physics_budget_review,REVIEW_READY,post derate load factor budget
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,post_derate_reaction_torque_scale,review_value,1.18,ratio,1.2129370394460944,1.18,0.032937039446094385,0.9728452191870276,reaction_torque_scale_limit,true,false,true,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,physics_budget_review,REVIEW_READY,post derate reaction torque budget
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,post_derate_vibration_proxy,review_value,0.10737348639206429,proxy,0.12440899140539828,0.10737348639206429,0.017035505013333993,0.86306853852852,reaction_torque_scale_limit,true,false,true,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,physics_budget_review,REVIEW_READY,post derate vibration proxy budget
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,target_max_tip_mach,review_value,0.6371344703535363,Mach,0.6429011423918513,0.6371344703535363,0.005766672038314935,0.9910302351978089,reaction_torque_scale_limit,true,true,false,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,rpm_control_review,REVIEW_READY,target Mach review target
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,target_max_rpm_scale,review_value,0.9910302351978083,ratio,1.0,0.9910302351978083,0.008969764802191693,0.9910302351978083,reaction_torque_scale_limit,true,true,false,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,rpm_control_review,REVIEW_READY,max RPM scale review target
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_manual_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,required_max_rpm_derate_percent,review_value,0.8969764802191723,percent,0.0,0.8969764802191723,0.8969764802191723,0.0,reaction_torque_scale_limit,true,true,false,true,false,false,false,false,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateManualReview.java,rpm_control_review,REVIEW_READY,max RPM derate percent review target
