row_type,name,metric,value,unit,source_file,source_url,source_row_type,note
coaxial_packet_reference_platform,New Dexterity Coaxial Benchmarking Platform,thrust_load_cell_capacity_kgf,5,kgf,docs/data/coaxial_interference_reference.csv,https://raw.githubusercontent.com/newdexterity/Coaxial-Benchmarking-Platform/master/README.md,reference_benchmark_platform,Open coaxial benchmark rig measurement capability.
coaxial_packet_reference_platform,New Dexterity Coaxial Benchmarking Platform,thrust_precision_gf,2.5,gf,docs/data/coaxial_interference_reference.csv,https://raw.githubusercontent.com/newdexterity/Coaxial-Benchmarking-Platform/master/README.md,reference_benchmark_platform,Open coaxial benchmark rig measurement capability.
coaxial_packet_reference_platform,New Dexterity Coaxial Benchmarking Platform,torque_capacity_nm,1.4715,N*m,docs/data/coaxial_interference_reference.csv,https://raw.githubusercontent.com/newdexterity/Coaxial-Benchmarking-Platform/master/README.md,reference_benchmark_platform,Open coaxial benchmark rig measurement capability.
coaxial_packet_reference_platform,New Dexterity Coaxial Benchmarking Platform,torque_precision_nm,0.00073575,N*m,docs/data/coaxial_interference_reference.csv,https://raw.githubusercontent.com/newdexterity/Coaxial-Benchmarking-Platform/master/README.md,reference_benchmark_platform,Open coaxial benchmark rig measurement capability.
coaxial_packet_reference_platform,New Dexterity Coaxial Benchmarking Platform,measured_channels,"thrust, torque, RPM, voltage, current",text,docs/data/coaxial_interference_reference.csv,https://raw.githubusercontent.com/newdexterity/Coaxial-Benchmarking-Platform/master/README.md,reference_benchmark_platform,Open coaxial benchmark rig measurement capability.
coaxial_packet_reference_spacing_scan,Hackaday/New Dexterity spacing sweep,z_over_d_min,0.1,z/D,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_spacing_scan,Public result log spacing-sweep metadata.
coaxial_packet_reference_spacing_scan,Hackaday/New Dexterity spacing sweep,z_over_d_max,1,z/D,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_spacing_scan,Public result log spacing-sweep metadata.
coaxial_packet_reference_spacing_scan,Hackaday/New Dexterity spacing sweep,spacing_point_count,7,count,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_spacing_scan,Public result log spacing-sweep metadata.
coaxial_packet_reference_spacing_scan,Hackaday/New Dexterity spacing sweep,command_grid_points_per_spacing,100,count,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_spacing_scan,Public result log spacing-sweep metadata.
coaxial_packet_reference_spacing_scan,Hackaday/New Dexterity spacing sweep,points_per_rotor_set,700,count,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_spacing_scan,Public result log spacing-sweep metadata.
coaxial_packet_reference_region,11in local efficiency maxima region 1,z_over_d_min,0.25,z/D,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_efficiency_region,"Qualitative region from the public result log; use as a spacing-region anchor, not digitized curve data."
coaxial_packet_reference_region,11in local efficiency maxima region 1,z_over_d_center,,z/D,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_efficiency_region,"Qualitative region from the public result log; use as a spacing-region anchor, not digitized curve data."
coaxial_packet_reference_region,11in local efficiency maxima region 1,z_over_d_max,0.4,z/D,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_efficiency_region,"Qualitative region from the public result log; use as a spacing-region anchor, not digitized curve data."
coaxial_packet_reference_region,11in local efficiency maxima region 1,metric,mechanical_efficiency_local_maximum,text,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_efficiency_region,"Qualitative region from the public result log; use as a spacing-region anchor, not digitized curve data."
coaxial_packet_reference_region,11in local efficiency minimum,z_over_d_min,,z/D,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_efficiency_region,Qualitative region from the public result log.
coaxial_packet_reference_region,11in local efficiency minimum,z_over_d_center,0.55,z/D,docs/data/coaxial_interference_reference.csv,https://hackaday.io/project/181977/log/199225-some-results-of-coaxial-rotor-experiments-on-the-benchmarking-platform,reference_efficiency_region,Qualitative region from the public result log.
