row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,wind_speed_mps,wind_speed_mph,tyto_9in_j_at_9000rpm,tyto_9in_code_mu_at_9000rpm,racing5in_j_at_hover_rpm,racing5in_code_mu_at_hover_rpm,racing5in_j_at_max_rpm,racing5in_code_mu_at_max_rpm,step_index
tyto_wind_tunnel_lead_packet_source_check,Tyto wind-speed propeller article,article_mentions_0_to_38_mph,1,boolean,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,source_text_check,Boolean text check against the current Tyto article HTML.,,,,,,,,,
tyto_wind_tunnel_lead_packet_source_check,Tyto wind-speed propeller article,article_mentions_0_to_17_mps,1,boolean,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,source_text_check,Boolean text check against the current Tyto article HTML.,,,,,,,,,
tyto_wind_tunnel_lead_packet_source_check,Tyto wind-speed propeller article,article_mentions_four_throttle_steps,1,boolean,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,source_text_check,Boolean text check against the current Tyto article HTML.,,,,,,,,,
tyto_wind_tunnel_lead_packet_source_check,Tyto wind-speed propeller article,article_mentions_thrust_declines_75_percent,1,boolean,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,source_text_check,Boolean text check against the current Tyto article HTML.,,,,,,,,,
tyto_wind_tunnel_lead_packet_source_check,Tyto wind-speed propeller article,article_mentions_power_declines_19_percent,1,boolean,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,source_text_check,Boolean text check against the current Tyto article HTML.,,,,,,,,,
tyto_wind_tunnel_lead_packet_setup,Tyto wind-speed test setup,propeller_diameter,9,inch,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_setup,Article-level setup value; raw per-point table is not exposed.,,,,,,,,,
tyto_wind_tunnel_lead_packet_setup,Tyto wind-speed test setup,propeller_distance_from_windshaper,2.1,m,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_setup,Article-level setup value; raw per-point table is not exposed.,,,,,,,,,
tyto_wind_tunnel_lead_packet_setup,Tyto wind-speed test setup,windshaper_fan_grid,2x2,text,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_setup,Article-level setup value; raw per-point table is not exposed.,,,,,,,,,
tyto_wind_tunnel_lead_packet_setup,Tyto wind-speed test setup,windshaper_fan_count,36,count,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_setup,Article-level setup value; raw per-point table is not exposed.,,,,,,,,,
tyto_wind_tunnel_lead_packet_setup,Tyto wind-speed test setup,airspeed_condition_count,6,count,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_setup,Article-level setup value; raw per-point table is not exposed.,,,,,,,,,
tyto_wind_tunnel_lead_packet_setup,Tyto wind-speed test setup,throttle_step_count,4,count,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_setup,Article-level setup value; raw per-point table is not exposed.,,,,,,,,,
tyto_wind_tunnel_lead_packet_setup,Tyto wind-speed test setup,comparison_rpm,9000,rpm,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_setup,Article-level setup value; raw per-point table is not exposed.,,,,,,,,,
tyto_wind_tunnel_lead_packet_setup,Tyto wind-speed test setup,measured_fields_include_thrust_torque_rpm_current_voltage_airspeed,1,boolean,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_setup,Article-level setup value; raw per-point table is not exposed.,,,,,,,,,
tyto_wind_tunnel_lead_packet_speed_condition,wind_0.0_mps,wind_speed,0,m/s,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_speed_condition,One of six constant airspeed cases reported in the Tyto article.,0,0,0,0,0,0,0,0,
tyto_wind_tunnel_lead_packet_speed_condition,wind_4.2_mps,wind_speed,4.2,m/s,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_speed_condition,One of six constant airspeed cases reported in the Tyto article.,4.2,9.3951324264,0.122484689414,0.0389880875466,0.152365197612,0.0484993487103,0.0680992854005,0.021676675785,
tyto_wind_tunnel_lead_packet_speed_condition,wind_7.5_mps,wind_speed,7.5,m/s,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_speed_condition,One of six constant airspeed cases reported in the Tyto article.,7.5,16.77702219,0.218722659668,0.0696215849046,0.272080710022,0.0866059798399,0.121605866787,0.0387083496161,
tyto_wind_tunnel_lead_packet_speed_condition,wind_10.7_mps,wind_speed,10.7,m/s,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_speed_condition,One of six constant airspeed cases reported in the Tyto article.,10.7,23.9352183244,0.312044327792,0.0993267944639,0.388168479631,0.123557864572,0.173491036616,0.055223912119,
tyto_wind_tunnel_lead_packet_speed_condition,wind_14.0_mps,wind_speed,14,m/s,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_speed_condition,One of six constant airspeed cases reported in the Tyto article.,14,31.317108088,0.408282298046,0.129960291822,0.507883992041,0.161664495701,0.226997618002,0.0722555859501,
tyto_wind_tunnel_lead_packet_speed_condition,wind_17.0_mps,wind_speed,17,m/s,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_speed_condition,One of six constant airspeed cases reported in the Tyto article.,17,38.027916964,0.495771361913,0.157808925784,0.616716276049,0.196306887637,0.275639964716,0.0877389257966,
tyto_wind_tunnel_lead_packet_throttle_step,throttle_1550_us,throttle_step,1550,us,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_throttle_step,Automated step-test command in the article; no raw thrust/RPM row is exposed.,,,,,,,,,0
tyto_wind_tunnel_lead_packet_throttle_step,throttle_1700_us,throttle_step,1700,us,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_throttle_step,Automated step-test command in the article; no raw thrust/RPM row is exposed.,,,,,,,,,1
tyto_wind_tunnel_lead_packet_throttle_step,throttle_1850_us,throttle_step,1850,us,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_throttle_step,Automated step-test command in the article; no raw thrust/RPM row is exposed.,,,,,,,,,2
tyto_wind_tunnel_lead_packet_throttle_step,throttle_2000_us,throttle_step,2000,us,docs/data/tyto_wind_tunnel_lead_packet.csv,https://www.tytorobotics.com/blogs/articles/propeller-efficiency-testing-wind-speed,article_throttle_step,Automated step-test command in the article; no raw thrust/RPM row is exposed.,,,,,,,,,3
tyto_wind_tunnel_lead_packet_summary,Tyto wind tunnel forward-flow lead,wind_speed_condition_count,6,count,docs/data/tyto_wind_tunnel_lead_packet.csv,,compact_tyto_wind_handoff,Use as dynamic forward-flow lead and ratio sanity check; raw graph/table digitization is still needed before fitting curves.,,,,,,,,,
tyto_wind_tunnel_lead_packet_summary,Tyto wind tunnel forward-flow lead,max_article_wind_speed,17,m/s,docs/data/tyto_wind_tunnel_lead_packet.csv,,compact_tyto_wind_handoff,Use as dynamic forward-flow lead and ratio sanity check; raw graph/table digitization is still needed before fitting curves.,,,,,,,,,
tyto_wind_tunnel_lead_packet_summary,Tyto wind tunnel forward-flow lead,max_article_wind_speed_over_12p5_mps_reference,1.36,ratio,docs/data/tyto_wind_tunnel_lead_packet.csv,,compact_tyto_wind_handoff,Use as dynamic forward-flow lead and ratio sanity check; raw graph/table digitization is still needed before fitting curves.,,,,,,,,,
tyto_wind_tunnel_lead_packet_summary,Tyto wind tunnel forward-flow lead,tyto_9in_j_at_17mps_9000rpm,0.495771361913,J,docs/data/tyto_wind_tunnel_lead_packet.csv,,compact_tyto_wind_handoff,Use as dynamic forward-flow lead and ratio sanity check; raw graph/table digitization is still needed before fitting curves.,,,,,,,,,
tyto_wind_tunnel_lead_packet_summary,Tyto wind tunnel forward-flow lead,tyto_9in_code_mu_at_17mps_9000rpm,0.157808925784,mu,docs/data/tyto_wind_tunnel_lead_packet.csv,,compact_tyto_wind_handoff,Use as dynamic forward-flow lead and ratio sanity check; raw graph/table digitization is still needed before fitting curves.,,,,,,,,,
tyto_wind_tunnel_lead_packet_summary,Tyto wind tunnel forward-flow lead,racing5in_j_at_12p5mps_hover_rpm,0.453467850036,J,docs/data/tyto_wind_tunnel_lead_packet.csv,,compact_tyto_wind_handoff,Use as dynamic forward-flow lead and ratio sanity check; raw graph/table digitization is still needed before fitting curves.,,,,,,,,,
tyto_wind_tunnel_lead_packet_summary,Tyto wind tunnel forward-flow lead,racing5in_j_at_17mps_hover_rpm,0.616716276049,J,docs/data/tyto_wind_tunnel_lead_packet.csv,,compact_tyto_wind_handoff,Use as dynamic forward-flow lead and ratio sanity check; raw graph/table digitization is still needed before fitting curves.,,,,,,,,,
tyto_wind_tunnel_lead_packet_summary,Tyto wind tunnel forward-flow lead,racing5in_code_mu_at_17mps_hover_rpm,0.196306887637,mu,docs/data/tyto_wind_tunnel_lead_packet.csv,,compact_tyto_wind_handoff,Use as dynamic forward-flow lead and ratio sanity check; raw graph/table digitization is still needed before fitting curves.,,,,,,,,,
tyto_wind_tunnel_lead_packet_summary,Tyto wind tunnel forward-flow lead,article_thrust_retention_0_to_17mps_at_9000rpm,0.25,ratio,docs/data/tyto_wind_tunnel_lead_packet.csv,,compact_tyto_wind_handoff,Use as dynamic forward-flow lead and ratio sanity check; raw graph/table digitization is still needed before fitting curves.,,,,,,,,,
