row_type,dataset_id,dataset_version,doi,title,license,source,folder_id,folder_name,parent_id,parent_name,created_date,filename,file_id,size_bytes,size_mb,content_type,sha256_hash,download_url,chemistry,series,c_rate,temperature_c
mendeley_source,kxsbr4x3j2,2,10.17632/kxsbr4x3j2.2,Experimental data of three lithium-ion batteries under galvanostatic discharge tests at different C-rates and operating temperatures,CC BY 4.0,https://data.mendeley.com/datasets/kxsbr4x3j2/2,,,,,,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,643c0a6f-5396-44dd-8525-51b4839f87f8,05degC,505b9450-a01e-4aeb-b529-29ad1f0d707f,LFP,2021-02-02T22:28:28.81,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,8bf667b2-dfd5-459b-949b-97c43fb02d5e,25degC,505b9450-a01e-4aeb-b529-29ad1f0d707f,LFP,2021-02-02T22:28:28.812,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,a8d1bdfa-39ac-4523-af11-570a3daa1f6a,35degC,505b9450-a01e-4aeb-b529-29ad1f0d707f,LFP,2021-02-02T22:28:28.814,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,65692330-4047-49db-9825-693fc067d1e5,05degC,88eead04-a0e8-413b-b9c5-3295427f8379,NMC,2021-02-02T22:28:28.835,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,63c23156-0f46-4522-87bb-cbfc6b1b0ee9,25degC,88eead04-a0e8-413b-b9c5-3295427f8379,NMC,2021-02-02T22:28:28.837,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,7199f58c-56a3-45e0-b948-85f60023bbbb,35degC,88eead04-a0e8-413b-b9c5-3295427f8379,NMC,2021-02-02T22:28:28.839,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,d16b747e-1369-4f1c-9beb-da56452b3130,05degC,c3753d88-24a3-42d6-aa81-726d05fd80ad,NCA,2021-02-02T22:28:28.827,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,df10443d-a82e-405c-98c8-cfb8a53ad6c4,25degC,c3753d88-24a3-42d6-aa81-726d05fd80ad,NCA,2021-02-02T22:28:28.829,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,fa47cdfd-41fb-422b-ad01-f761c67a2be1,35degC,c3753d88-24a3-42d6-aa81-726d05fd80ad,NCA,2021-02-02T22:28:28.831,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,505b9450-a01e-4aeb-b529-29ad1f0d707f,LFP,fbdce6b1-c053-490d-b3b4-7fd64499a9d0,galvanostatic_discharge_test,2021-02-02T22:28:28.808,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,c3753d88-24a3-42d6-aa81-726d05fd80ad,NCA,fbdce6b1-c053-490d-b3b4-7fd64499a9d0,galvanostatic_discharge_test,2021-02-02T22:28:28.817,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,88eead04-a0e8-413b-b9c5-3295427f8379,NMC,fbdce6b1-c053-490d-b3b4-7fd64499a9d0,galvanostatic_discharge_test,2021-02-02T22:28:28.833,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,3f9eba85-0a16-48f0-989d-48dd35de8320,Table_datasheet,fbdce6b1-c053-490d-b3b4-7fd64499a9d0,galvanostatic_discharge_test,2021-02-02T22:28:28.841,,,,,,,,,,,
mendeley_folder,kxsbr4x3j2,2,,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,fbdce6b1-c053-490d-b3b4-7fd64499a9d0,galvanostatic_discharge_test,,,2021-02-02T22:28:28.806,,,,,,,,,,,
mendeley_file,kxsbr4x3j2,2,10.17632/kxsbr4x3j2.2,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,643c0a6f-5396-44dd-8525-51b4839f87f8,05degC,505b9450-a01e-4aeb-b529-29ad1f0d707f,LFP,,data_analysis_LFP_05degC.m,7afc1f52-ce5b-4bdc-920a-7657670d669c,58441,0.058441,application/octet-stream,a8ff0b70dfccb753ef3b5045486c43c7dfe739d2d78f658ab31cbac7f7f0eab4,https://data.mendeley.com/public-files/datasets/kxsbr4x3j2/files/7afc1f52-ce5b-4bdc-920a-7657670d669c/file_downloaded,,,,
mendeley_file,kxsbr4x3j2,2,10.17632/kxsbr4x3j2.2,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,643c0a6f-5396-44dd-8525-51b4839f87f8,05degC,505b9450-a01e-4aeb-b529-29ad1f0d707f,LFP,,LFP_k1_0_05C_05degC.xlsx,12bd1f9a-7a7a-43bb-a6fe-7db8f93b9dbf,5837146,5.837146,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,cd8f2099e0f12c11cef557aa183e64aef9650f7043b5d8ab29884ebf959f4f1f,https://data.mendeley.com/public-files/datasets/kxsbr4x3j2/files/12bd1f9a-7a7a-43bb-a6fe-7db8f93b9dbf/file_downloaded,LFP,k1,0.05,5.0
mendeley_file,kxsbr4x3j2,2,10.17632/kxsbr4x3j2.2,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,643c0a6f-5396-44dd-8525-51b4839f87f8,05degC,505b9450-a01e-4aeb-b529-29ad1f0d707f,LFP,,LFP_k1_10C_05degC.xlsx,f1c8c715-e471-4436-ad71-b8f484663cd0,674554,0.674554,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,46d9e11a524d4ef5f3265f6fbfdc8ec7455e05e48a590c0194596ea067a543d7,https://data.mendeley.com/public-files/datasets/kxsbr4x3j2/files/f1c8c715-e471-4436-ad71-b8f484663cd0/file_downloaded,LFP,k1,10.0,5.0
mendeley_file,kxsbr4x3j2,2,10.17632/kxsbr4x3j2.2,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,643c0a6f-5396-44dd-8525-51b4839f87f8,05degC,505b9450-a01e-4aeb-b529-29ad1f0d707f,LFP,,LFP_k1_15C_05degC.xlsx,19b58f0a-aecd-4eef-a336-b5db6132c4d8,779091,0.779091,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,84acadc500b1f9e2d8a2cf0dcf17c693e55f36372dc02079c9cca0853ffa1d14,https://data.mendeley.com/public-files/datasets/kxsbr4x3j2/files/19b58f0a-aecd-4eef-a336-b5db6132c4d8/file_downloaded,LFP,k1,15.0,5.0
mendeley_file,kxsbr4x3j2,2,10.17632/kxsbr4x3j2.2,,,https://data.mendeley.com/datasets/kxsbr4x3j2/2,643c0a6f-5396-44dd-8525-51b4839f87f8,05degC,505b9450-a01e-4aeb-b529-29ad1f0d707f,LFP,,LFP_k1_1C_05degC.xlsx,4ca3adff-a1ab-4295-ac67-68d18f2d2ab2,970182,0.970182,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,87c082379e4cb1a2097d11371ee1213c4f009f9cc25585df3e498beb5c173a5a,https://data.mendeley.com/public-files/datasets/kxsbr4x3j2/files/4ca3adff-a1ab-4295-ac67-68d18f2d2ab2/file_downloaded,LFP,k1,1.0,5.0
