row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,post_review_satisfied,openfoam_result_contract_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_openfoam_result_source,openfoam_validation_plan,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Validation-Plan-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamValidationPlan.java,validation_plan,true,true,true,false,false,false,run-external-openfoam-validation-after-reviewed-ct-cp-j-import,READY,validation plan supplies geometry-backed runnable target list
propeller_archive_ct_cp_j_openfoam_result_source,openfoam_dev_repository,source_url,https://github.com/OpenFOAM/OpenFOAM-dev,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamResultContract.java,external_solver_source,true,true,true,false,false,false,keep-openfoam-code-out-of-repository,READY,external CFD source reference only
propeller_archive_ct_cp_j_openfoam_result_source,openfoam_source_download,source_url,https://openfoam.org/download/source/,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamResultContract.java,external_solver_source,true,true,true,false,false,false,keep-openfoam-code-out-of-repository,READY,OpenFOAM source and build stay outside this repository
propeller_archive_ct_cp_j_openfoam_result_source,lookup_acceptance_gate,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Acceptance-Gate-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupAcceptanceGate.java,lookup_acceptance,true,false,true,false,false,false,compare-openfoam-and-wind-tunnel-ct-cp-eta-residuals,BLOCKED,OpenFOAM residuals can support but not replace lookup acceptance
propeller_archive_ct_cp_j_openfoam_result_source,lookup_reference_handoff,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reference-Handoff-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupReferenceHandoff.java,reference_handoff,true,false,true,false,false,false,materialize-reference-table-after-handoff,BLOCKED,current reference handoff remains blocked
propeller_archive_ct_cp_j_openfoam_result_source,lookup_reference_table,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reference-Table-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJLookupReferenceTable.java,reference_table,true,false,true,false,false,false,materialize-reference-table-after-handoff,BLOCKED,current reference rows have zero weights
propeller_archive_ct_cp_j_openfoam_result_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamResultContract.java,leak_guard,true,true,true,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,result contract cannot alter runtime physics
propeller_archive_ct_cp_j_openfoam_result_field,preset_name,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamResultContract.java,result_payload_schema,true,true,true,false,false,false,join-result-to-droneconfig-preset,READY,lookup target join key
propeller_archive_ct_cp_j_openfoam_result_field,case_name,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamResultContract.java,result_payload_schema,true,true,true,false,false,false,join-result-to-static-mid-or-high-domain-case,READY,lookup target join key
propeller_archive_ct_cp_j_openfoam_result_field,solver_family,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamResultContract.java,result_payload_schema,true,true,true,false,false,false,prove-result-came-from-expected-openfoam-setup,READY,external solver identity
