row_type,name,source,tip_mach_loss_onset_low,tip_mach_loss_onset_high,blade_angle_075r_low_deg,blade_angle_075r_high_deg,current_curve_thrust_scale_at_low,current_curve_thrust_scale_at_high,note,tip_mach_serious_loss_threshold,efficiency_loss_per_0_1_mach_low_percent,efficiency_loss_per_0_1_mach_high_percent,current_curve_thrust_scale_at_threshold,current_curve_reaction_torque_scale_at_threshold,tip_mach,current_compressibility_intensity,current_thrust_scale,current_thrust_loss_percent,current_load_factor,current_reaction_torque_scale,current_vibration_proxy_at_spin1,preset,scenario,ambient_temperature_c,speed_of_sound_m_s,max_tip_mach,max_compressibility_thrust_scale,max_compressibility_thrust_loss_percent,mach_margin_over_current_onset_0_46,mach_margin_to_naca_serious_0_91,inside_naca_takeoff_climb_loss_band_0_5_0_7,family,uiuc_tip_mach_min_proxy,uiuc_tip_mach_max_proxy,current_curve_thrust_scale_at_uiuc_max_mach,racing_default_max_mach_over_uiuc_max_mach
reference_compressibility_threshold,NACA full-scale propeller compressibility survey,https://ntrs.nasa.gov/citations/19930091714,0.5,0.7,10.0,30.0,0.9931412894375857,0.8518518518518519,NTRS abstract: effects on efficiency begin at tip speeds from about 0.5 to 0.7 times sound speed for take-off/climb blade-angle range.,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_compressibility_threshold,NACA 4(3)(08)-045 two-blade high-speed propeller,https://ntrs.nasa.gov/citations/19930092056,,,,,,,NTRS abstract: serious efficiency losses as tip Mach exceeded about 0.91; slope from 9 to 22 percent per 0.1 Mach depending on advance-diameter ratio.,0.91,9.0,22.0,0.8,1.42,,,,,,,,,,,,,,,,,,,,,,
current_compressibility_curve,current_curve_mach_0.30,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors DronePhysics rotorCompressibility* helper functions.,,,,,,0.3,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
current_compressibility_curve,current_curve_mach_0.46,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors DronePhysics rotorCompressibility* helper functions.,,,,,,0.46,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
current_compressibility_curve,current_curve_mach_0.50,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors DronePhysics rotorCompressibility* helper functions.,,,,,,0.5,0.03429355281207131,0.9931412894375857,0.6858710562414272,0.01440329218106995,1.0110915416763104,0.007544581618655688,,,,,,,,,,,,,,,
current_compressibility_curve,current_curve_mach_0.56,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors DronePhysics rotorCompressibility* helper functions.,,,,,,0.56,0.18861454046639245,0.9622770919067215,3.7722908093278495,0.07921810699588483,1.0639141974367805,0.04149519890260634,,,,,,,,,,,,,,,
current_compressibility_curve,current_curve_mach_0.60,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors DronePhysics rotorCompressibility* helper functions.,,,,,,0.6,0.33607681755829893,0.9327846364883402,6.72153635116598,0.14115226337448555,1.1188393443486673,0.07393689986282577,,,,,,,,,,,,,,,
current_compressibility_curve,current_curve_mach_0.70,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors DronePhysics rotorCompressibility* helper functions.,,,,,,0.7,0.7407407407407407,0.8518518518518519,14.814814814814813,0.31111111111111106,1.291906721536351,0.16296296296296295,,,,,,,,,,,,,,,
current_compressibility_curve,current_curve_mach_0.82,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors DronePhysics rotorCompressibility* helper functions.,,,,,,0.82,1.0,0.8,19.999999999999996,0.42,1.42,0.22,,,,,,,,,,,,,,,
current_compressibility_curve,current_curve_mach_0.91,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,,,,,,,Mirrors DronePhysics rotorCompressibility* helper functions.,,,,,,0.91,1.0,0.8,19.999999999999996,0.42,1.42,0.22,,,,,,,,,,,,,,,
