kind,name,source,brand,preset,reference_prop,prop_diameter_in,pitch_in,blade_count,mount,current_diameter_in,reference_diameter_in,diameter_delta_in,diameter_delta_percent,radius_m,rotor_mass_g,mass_multiplier,rotor_inertia_kg_m2,current_rotor_inertia_kg_m2,reference_mass_g,estimated_inertia_kg_m2_c025_hub_biased,estimated_inertia_kg_m2_c033_uniform_blades,estimated_inertia_kg_m2_c050_tip_biased,estimated_inertia_kg_m2_c100_ring_bound,reference_inertia_kg_m2_c025_hub_biased,reference_inertia_kg_m2_c033_uniform_blades,reference_inertia_kg_m2_c050_tip_biased,current_over_reference_c025_hub_biased,current_over_reference_c033_uniform_blades,current_over_reference_c050_tip_biased,current_equivalent_mass_g_c033_uniform_blades,current_equivalent_mass_over_reference_mass_c033,rotor_count,max_rpm,hover_rpm,equivalent_mass_g_c025_hub_biased,equivalent_mass_g_c033_uniform_blades,equivalent_mass_g_c050_tip_biased,equivalent_mass_g_c100_ring_bound,hover_angular_momentum_nms,max_angular_momentum_nms,gyro_body_rate_deg_s,hover_gyro_torque_per_rotor_nm,max_gyro_torque_per_rotor_nm,max_gyro_torque_all_rotors_abs_nm,spinup_reaction_torque_motor_tau_nm,spinup_reaction_torque_50ms_nm,note
current_preset,racingQuad,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,5.0,,3,,,,,,0.0635,nan,nan,5.376333333333333e-06,,,,,,,,,,,,,,,4,29137.63274949454,13023.090711279678,5.333333333333333,3.999999999999999,2.6666666666666665,1.3333333333333333,0.007332108293745071,0.016404729374850074,720.0,0.09213799020381723,0.2061479091526307,0.8245916366105228,0.364549541663335,0.3280945874970015,"Per-rotor inertia; all-rotors gyro column is an absolute upper-bound sum, not the symmetric hover net."
current_preset,cinewhoop,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,2.9921259842519685,,3,,,,,,0.038,nan,nan,9e-06,,,,,,,,,,,,,,,4,7964.663928742473,4297.487346413935,24.930747922437675,18.698060941828256,12.465373961218837,6.232686980609419,0.004050286402916733,0.0075065189060546916,720.0,0.05089740003335135,0.09432969859717724,0.37731879438870897,0.10723598437220987,0.1501303781210938,"Per-rotor inertia; all-rotors gyro column is an absolute upper-bound sum, not the symmetric hover net."
current_preset,heavyLift,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,10.0,,2,,,,,,0.127,nan,nan,8.5e-05,,,,,,,,,,,,,,,4,8775.19797885932,4728.264076300938,21.08004216008432,15.810031620063238,10.54002108004216,5.27001054002108,0.04208712577796207,0.07810960959517792,720.0,0.528882420619021,0.981554302715911,3.926217210863644,0.6509134132931493,1.5621921919035582,"Per-rotor inertia; all-rotors gyro column is an absolute upper-bound sum, not the symmetric hover net."
current_preset,hexLift,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,8.26771653543307,,2,,,,,,0.105,nan,nan,6.2e-05,,,,,,,,,,,,,,,6,8115.341605103235,4169.93695964427,22.49433106575964,16.87074829931973,11.24716553287982,5.62358276643991,0.027073836191258728,0.052689868307125444,720.0,0.34021985953180756,0.6621204127691158,3.972722476614695,0.5546301927065836,1.0537973661425089,"Per-rotor inertia; all-rotors gyro column is an absolute upper-bound sum, not the symmetric hover net."
current_preset,octoLift,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,9.05511811023622,,2,,,,,,0.115,nan,nan,7e-05,,,,,,,,,,,,,,,8,8269.933431326881,4873.783053100573,21.17202268431002,15.879017013232511,10.58601134215501,5.293005671077505,0.03572669574789278,0.0606217782649107,720.0,0.4489548995944706,0.7617957329783713,6.094365863826971,0.5773502691896257,1.212435565298214,"Per-rotor inertia; all-rotors gyro column is an absolute upper-bound sum, not the symmetric hover net."
current_preset,coaxialX8,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,,,9.05511811023622,,2,,,,,,0.115,nan,nan,7e-05,,,,,,,,,,,,,,,8,8269.933431326881,5015.081387389711,21.17202268431002,15.879017013232511,10.58601134215501,5.293005671077505,0.036762466635482986,0.0606217782649107,720.0,0.4619707804394929,0.7617957329783713,6.094365863826971,0.5773502691896257,1.212435565298214,"Per-rotor inertia; all-rotors gyro column is an absolute upper-bound sum, not the symmetric hover net."
open_source_reference,RotorS Firefly physical rotor mass,https://raw.githubusercontent.com/ethz-asl/rotors_simulator/master/rotors_description/urdf/firefly.xacro,,,,,,,,,,,,0.1,5.0,1.0,4.2604166666666675e-06,,,,,,,,,,,,,,,nan,nan,nan,1.7041666666666666,1.2781250000000002,0.8520833333333333,0.42604166666666665,nan,nan,720.0,nan,nan,nan,nan,nan,RotorS cuboid rotor inertia; sim row multiplies rotor mass by rotor_velocity_slowdown_sim.
open_source_reference,RotorS Firefly sim slowdown mass,https://raw.githubusercontent.com/ethz-asl/rotors_simulator/master/rotors_description/urdf/firefly.xacro,,,,,,,,,,,,0.1,50.0,10.0,4.2604166666666675e-05,,,,,,,,,,,,,,,nan,nan,nan,17.041666666666668,12.781250000000002,8.520833333333334,4.260416666666667,nan,nan,720.0,nan,nan,nan,nan,nan,RotorS cuboid rotor inertia; sim row multiplies rotor mass by rotor_velocity_slowdown_sim.
open_source_reference,RotorS Hummingbird physical rotor mass,https://raw.githubusercontent.com/ethz-asl/rotors_simulator/master/rotors_description/urdf/hummingbird.xacro,,,,,,,,,,,,0.1,9.0,1.0,7.66875e-06,,,,,,,,,,,,,,,nan,nan,nan,3.0674999999999994,2.3006249999999997,1.5337499999999997,0.7668749999999999,nan,nan,720.0,nan,nan,nan,nan,nan,RotorS cuboid rotor inertia; sim row multiplies rotor mass by rotor_velocity_slowdown_sim.
open_source_reference,RotorS Hummingbird sim slowdown mass,https://raw.githubusercontent.com/ethz-asl/rotors_simulator/master/rotors_description/urdf/hummingbird.xacro,,,,,,,,,,,,0.1,90.0,10.0,7.66875e-05,,,,,,,,,,,,,,,nan,nan,nan,30.674999999999994,23.006249999999998,15.337499999999997,7.668749999999998,nan,nan,720.0,nan,nan,nan,nan,nan,RotorS cuboid rotor inertia; sim row multiplies rotor mass by rotor_velocity_slowdown_sim.
