row_type,scenario_name,status,metric_or_queue_ordinal,value_or_preset_name,unit_or_case_name,query_advance_ratio_j,query_rpm,minimum_neighbor_rows_required,requires_static_anchor_preservation,downstream_use,full_simulation_candidate,performance_only_candidate,payload_handoff_ready,surface_fit_handoff_ready,lookup_execution_input_ready,payload_lookup_input_slot_count,exported_surface_fit_input_row_count,archive_curve_shape_guard_ready_target_count,negative_thrust_tail_execution_input_row_count,lookup_run_authorized,lookup_result_evidence_present,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_execution_target_run_source,source,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,0,0,0,false,source_fingerprint,false,false,false,false,false,0,0,0,0,false,false,false,false,review-source-license-before-importing-raw-rows,archive identity remains required
propeller_archive_ct_cp_j_lookup_execution_target_run_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Input-Readiness-Gate-Packet,text,0,0,0,false,input_readiness_gate,false,false,false,false,false,0,0,0,0,false,false,false,false,complete-payload-and-surface-fit-handoffs-before-lookup-execution,overall readiness is expanded per target here
propeller_archive_ct_cp_j_lookup_execution_target_run_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Acceptance-Gate-Packet,text,0,0,0,false,acceptance_targets,false,false,false,false,false,0,0,0,0,false,false,false,false,feed-acceptance-gate-with-execution-results,acceptance target list supplies the nine run targets
propeller_archive_ct_cp_j_lookup_execution_target_run_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Interpolation-Policy-Packet,text,0,0,0,false,interpolation_policy,false,false,false,false,false,0,0,0,0,false,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,J and RPM query metadata is inherited from policy contracts
propeller_archive_ct_cp_j_lookup_execution_target_run_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Review-Handoff-Packet,text,0,0,0,false,coefficient_payload_handoff,false,false,false,false,false,0,0,0,0,false,false,false,false,complete-coefficient-payload-review-handoff-before-lookup-execution,reviewed coefficient slots must exist before queue authorization
propeller_archive_ct_cp_j_lookup_execution_target_run_source,source,READY,source_id,User-Propeller-Archive-CT-CP-J-Scattered-Surface-Fit-Execution-Handoff-Packet,text,0,0,0,false,scattered_surface_fit_execution_handoff,false,false,false,false,false,0,0,0,0,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,surface fit execution rows must exist before queue authorization
propeller_archive_ct_cp_j_lookup_execution_target_run_source,source,READY,caveat,lab-only-run-queue-no-runtime-authority,text,0,0,0,false,runtime_boundary,false,false,false,false,false,0,0,0,0,false,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,run queue never enables runtime or gameplay auto apply
propeller_archive_ct_cp_j_lookup_execution_target_run,current_payload_and_surface_fit_blocked,BLOCKED,1,racingQuad,static_anchor_low_rpm,0,1477.8,1,true,full-simulation-ct-cp-j-lookup-reference,true,false,false,false,false,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current payload and surface handoffs are both blocked
propeller_archive_ct_cp_j_lookup_execution_target_run,current_payload_and_surface_fit_blocked,BLOCKED,2,racingQuad,mid_domain_mid_rpm,0.4064,4712.25,4,false,full-simulation-ct-cp-j-lookup-reference,true,false,false,false,false,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current payload and surface handoffs are both blocked
propeller_archive_ct_cp_j_lookup_execution_target_run,current_payload_and_surface_fit_blocked,BLOCKED,3,racingQuad,high_domain_max_rpm,0.73152,7946.7,2,false,full-simulation-ct-cp-j-lookup-reference,true,false,false,false,false,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current payload and surface handoffs are both blocked
propeller_archive_ct_cp_j_lookup_execution_target_run,current_payload_and_surface_fit_blocked,BLOCKED,4,apDrone,static_anchor_low_rpm,0,1477.8,1,true,full-simulation-ct-cp-j-lookup-reference,true,false,false,false,false,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current payload and surface handoffs are both blocked
propeller_archive_ct_cp_j_lookup_execution_target_run,current_payload_and_surface_fit_blocked,BLOCKED,5,apDrone,mid_domain_mid_rpm,0.4064,4712.25,4,false,full-simulation-ct-cp-j-lookup-reference,true,false,false,false,false,0,0,0,9,false,false,false,false,execute-clearance-evidence-ledger-before-reviewed-payload-output,current payload and surface handoffs are both blocked
