row_type,name,blocker_count,numerical_budget_blocker,external_case_hash_blocker,solver_quality_extraction_blocker,missing_quality_case_blocker,failed_quality_case_blocker,incomplete_quality_payload_blocker,blade_courant_blocker,freestream_courant_blocker,azimuth_step_blocker,tip_mach_blocker,reynolds_reference_blocker,low_reynolds_review_blocker,grid_independence_blocker,mesh_non_orthogonality_blocker,runtime_coupling_leak_blocker,gameplay_auto_apply_leak_blocker,expected_quality_case_count,observed_quality_case_count,missing_quality_case_count,failed_quality_case_count,low_reynolds_review_missing_count,next_required_action,status,message,source_file,evidence_role,note
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_source,openfoam_solver_quality_blocker_report,,,,,,,,,,,,,,,,,,,,,,,keep-openfoam-solver-quality-evidence-audit-only,READY,User-Propeller-Archive-CT-CP-J-OpenFOAM-Solver-Quality-Blocker-Report-Packet,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,blocker_report,Decomposes OpenFOAM solver QA readiness blockers.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_source,openfoam_solver_quality_contract,,,,,,,,,,,,,,,,,,,,,,,keep-openfoam-solver-quality-evidence-audit-only,READY,User-Propeller-Archive-CT-CP-J-OpenFOAM-Solver-Quality-Contract-Packet,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityContract.java,quality_contract,Consumes compact solver QA readiness summaries.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_source,openfoam_numerical_budget,,,,,,,,,,,,,,,,,,,,,,,keep-openfoam-solver-quality-evidence-audit-only,READY,User-Propeller-Archive-CT-CP-J-OpenFOAM-Numerical-Budget-Packet,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,numerical_budget,Supplies mesh timestep Mach Reynolds and domain constraints.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_source,openfoam_case_manifest,,,,,,,,,,,,,,,,,,,,,,,keep-openfoam-solver-quality-evidence-audit-only,READY,User-Propeller-Archive-CT-CP-J-OpenFOAM-Case-Manifest-Packet,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamCaseManifest.java,case_manifest,Binds QA rows to geometry-backed external case keys.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_source,runtime_boundary,,,,,,,,,,,,,,,,,,,,,,,keep-openfoam-solver-quality-evidence-audit-only,READY,DronePhysics runtime boundary,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,leak_guard,Report cannot mutate runtime physics or playable tuning.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_scenario,current_no_case_hash_no_solver_quality,4,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,6,0,6,0,0,review-openfoam-mesh-yplus-and-time-step-against-run-setup,BLOCKED,openfoam-solver-quality-blockers-open,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,current_quality_blockers,No current external case hash or compact solver QA evidence is present.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_scenario,numerical_budget_ready_quality_missing,1,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,6,0,6,0,0,extract-compact-openfoam-solver-quality-summary,BLOCKED,openfoam-solver-quality-blockers-open,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,missing_quality_blockers,Numerical budget and case provenance are ready but QA rows are missing.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_scenario,synthetic_solver_quality_all_pass,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,6,6,0,0,0,openfoam-solver-quality-blockers-clear,READY,openfoam-solver-quality-blockers-clear,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,synthetic_quality_blockers,All synthetic QA rows pass while runtime and gameplay auto-apply remain closed.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_scenario,synthetic_low_reynolds_review_missing,2,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,6,6,0,1,1,review-low-reynolds-static-anchor-openfoam-model,BLOCKED,openfoam-solver-quality-blockers-open,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,low_reynolds_quality_blockers,Static-anchor low-Reynolds model review is missing for one QA row.
propeller_archive_ct_cp_j_openfoam_solver_quality_blocker_scenario,synthetic_blade_courant_failed,2,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,6,6,0,1,0,bind-openfoam-deltaT-to-run-setup-budget,BLOCKED,openfoam-solver-quality-blockers-open,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityBlockerReport.java,courant_quality_blockers,One synthetic QA row exceeds the blade-cell Courant budget.
