row_type,name,metric,value,unit,source_file,source_url,note
surface_nearfield_ground_reference_curve,h_over_r_0.5,cheeseman_bennett_ground_boost,1.33333333333,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_ground_reference_curve,h_over_r_0.5,kan_aau_hover_boost_proxy,1.47492625369,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_ground_reference_curve,h_over_r_1.0,cheeseman_bennett_ground_boost,1.06666666667,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_ground_reference_curve,h_over_r_1.0,kan_aau_hover_boost_proxy,1.17785630153,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_ground_reference_curve,h_over_r_2.0,cheeseman_bennett_ground_boost,1.01587301587,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_ground_reference_curve,h_over_r_2.0,kan_aau_hover_boost_proxy,1.07009095773,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_ground_reference_curve,h_over_r_4.0,cheeseman_bennett_ground_boost,1.00392156863,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_ground_reference_curve,h_over_r_4.0,kan_aau_hover_boost_proxy,1.02327961115,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_ground_reference_curve,h_over_r_6.0,cheeseman_bennett_ground_boost,1.00173913043,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_ground_reference_curve,h_over_r_6.0,kan_aau_hover_boost_proxy,1.00857286939,multiplier,docs/data/surface_proximity_effect_reference.csv,https://projekter.aau.dk/projekter/files/454478098/finalquad.pdf,Reference curve for expected hover ground-effect order of magnitude; not a direct runtime formula.
surface_nearfield_zju_ground_check,racingQuad_h_over_r_0.5,current_thrust_multiplier,1.16145403125,multiplier,docs/data/zju_ground_effect_model_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current ground-effect extra thrust compared with ZJU formula-level ground-effect model.
surface_nearfield_zju_ground_check,racingQuad_h_over_r_0.5,zju_formula_thrust_multiplier,1.38528853,multiplier,docs/data/zju_ground_effect_model_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current ground-effect extra thrust compared with ZJU formula-level ground-effect model.
surface_nearfield_zju_ground_check,racingQuad_h_over_r_0.5,current_extra_thrust_fraction,0.16145403125,fraction,docs/data/zju_ground_effect_model_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current ground-effect extra thrust compared with ZJU formula-level ground-effect model.
surface_nearfield_zju_ground_check,racingQuad_h_over_r_0.5,zju_extra_thrust_fraction,0.385288530001,fraction,docs/data/zju_ground_effect_model_reference.csv,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,Current ground-effect extra thrust compared with ZJU formula-level ground-effect model.
