row_type,source_page,note,test_hash,title,creator,local_source_file,motor,propeller,esc,sample_count,fit_q_over_t_m,fit_r2,fit_point_count,fit_residual_rms_n_m,sample_q_over_t_min_m,sample_q_over_t_mean_m,sample_q_over_t_max_m,high_thrust_sample_count,high_thrust_q_over_t_mean_m,high_thrust_q_over_t_median_m,q_over_t_at_max_thrust_m,max_thrust_n,torque_n_m_at_max_thrust,rpm_at_max_thrust,racingQuad_configured_yaw_torque_per_thrust_m,racingQuad_configured_over_fit_q_over_t,racingQuad_fit_q_over_t_over_configured,racingQuad_max_thrust_q_over_t_over_configured,apDrone_configured_yaw_torque_per_thrust_m,apDrone_configured_over_fit_q_over_t,apDrone_fit_q_over_t_over_configured,apDrone_max_thrust_q_over_t_over_configured,sample_index,throttle_us,rotation_speed_rpm,thrust_n,torque_n_m_abs,q_over_t_m,torque_coefficient_n_m_per_rad2_s2,mechanical_power_from_torque_w,mechanical_power_w_from_tyto,mechanical_power_ratio_recomputed_over_tyto,racingQuad_sample_q_over_t_over_configured,apDrone_sample_q_over_t_over_configured,preset,yaw_torque_per_thrust_m,max_rotor_thrust_n,thrust_coefficient_n_per_rad2_s2
tyto_torque_ratio_metadata,https://database.tytorobotics.com,Derives propeller torque/thrust ratio Q/T from selected Tyto static tests. Torque sign is discarded because the Java yaw coefficient uses magnitude with motor spin direction handled separately.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_torque_ratio_summary,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Fit uses positive-thrust samples above 0.05 N. High-thrust rows use samples at >=50% of that test's max thrust.,x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,8,0.0113854299885362,0.99991803288615,7.0,0.0004257431677219241,0.01132340662370651,0.01166111384568698,0.012710019798984564,3,0.011369775044516606,0.011385548298033902,0.011385548298033902,12.547278947987,0.14285765047121,25000.999999999865,0.014,1.229641745116027,0.8132449991811571,0.8132534498595644,0.013572582176683558,1.1921009738191324,0.8388551154322953,0.8388638322332814,,,,,,,,,,,,,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,x3nm,Five33 2207  Azure Vanover,,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000.0,0.0,0.0008423799158741099,9.2029429693583e-05,0.1092493160857083,,,0.0,,7.803522577550592,8.049265398693885,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,x3nm,Five33 2207  Azure Vanover,,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1100.0,4710.000000000024,0.3629233253773,0.0046127626510588,0.012710019798984564,1.8961035809421916e-08,2.275153137399205,2.275153137399205,1.0,0.9078585570703259,0.9364481742331392,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,x3nm,Five33 2207  Azure Vanover,,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200.0,8985.999999999975,1.4455499932587,0.017260166664612,0.011940207357133633,1.9491933475396367e-08,16.24201911201391,16.242019112013907,1.0000000000000002,0.8528719540809737,0.8797299733904581,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,x3nm,Five33 2207  Azure Vanover,,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1300.0,12960.00000000009,3.1369670973234,0.036100526163101,0.011508098441294962,1.959955868996767e-08,48.994479843001194,48.994479843001194,1.0,0.8220070315210687,0.8478930752811953,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,x3nm,Five33 2207  Azure Vanover,,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1400.0,16412.00000000042,5.179248240524401,0.05883701716068,0.01136014618884588,1.991913132135227e-08,101.12086445256816,101.12086445256816,1.0,0.8114390134889914,0.8369922569606217,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,x3nm,Five33 2207  Azure Vanover,,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1500.0,19427.999999999523,7.3438474402031995,0.083157370747887,0.01132340662370651,2.0090341724432988e-08,169.18328846762864,169.1832884676286,1.0000000000000002,0.8088147588361793,0.8342853612011335,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,x3nm,Five33 2207  Azure Vanover,,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1600.0,22422.999999999705,9.8983000649485,0.11284428520799,0.011400370211809407,2.0466090966594703e-08,264.9731720614063,264.9731720614063,1.0,0.8143121579863862,0.8399558804215007,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,x3nm,Five33 2207  Azure Vanover,,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1700.0,25000.999999999865,12.547278947987,0.14285765047121,0.011385548298033902,2.084162161979722e-08,374.01541437604874,374.01541437604874,1.0,0.8132534498595644,0.8388638322332814,,,,
tyto_torque_ratio_summary,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Fit uses positive-thrust samples above 0.05 N. High-thrust rows use samples at >=50% of that test's max thrust.,dnq,LF40 2305 with 5040 prop,Audrey Schwartzenberger,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,T-Motor LF40 2305,Gemfan 5040 R,T-Motor F35A,15,0.014586521016335946,0.9996491957508717,14.0,0.00039206683765569144,0.014451457981324745,0.015094856738443223,0.01713413483245089,6,0.0145697672667851,0.014561320659516876,0.014512651125968636,4.5978940811881,0.066727632714439,13362.999999999873,0.014,0.9597902052395441,1.0418943583097104,1.0366179375691882,0.013572582176683558,0.9304879594992636,1.0747049328162654,1.0692623508959136,,,,,,,,,,,,,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000.0,0.0,0.023292491147754,0.00015585950460985,0.00669140555302428,,,0.0,,0.4779575395017343,0.4930090284897664,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1600.0,13362.999999999873,4.5978940811881,0.066727632714439,0.014512651125968636,3.407536723335541e-08,93.3766532412157,93.3766532412157,1.0,1.0366179375691882,1.0692623508959136,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1559.0,12670.999999999915,4.1453689079618,0.0599066245905,0.014451457981324745,3.4024819689279024e-08,79.49034082130612,79.49034082130612,1.0,1.0322469986660532,1.0647537655841948,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1518.0,12024.999999999916,3.7269080015441,0.054067866122085,0.014507432461355116,3.409665880250977e-08,68.0852337442707,68.08523374427068,1.0000000000000002,1.0362451758110798,1.0688778503973655,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1477.0,11310.000000000458,3.2837927257603994,0.047976179519418,0.014609990193065116,3.420134733618278e-08,56.82204814831908,56.82204814831908,1.0,1.0435707280760798,1.0764340935922811,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1437.0,10554.000000000104,2.8647960378445,0.04198140029641,0.014654237070223404,3.4368889898122966e-08,46.39835979128087,46.39835979128087,1.0,1.0467312193016718,1.0796941126941952,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1396.0,9724.000000000273,2.4447805238824,0.035896308478081,0.014682834768773585,3.461805410839058e-08,36.55302780839238,36.55302780839238,1.0,1.0487739120552562,1.0818011324328054,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1355.0,8849.000000000007,2.0167971440992,0.030061756348813,0.01490569164914206,3.500811479064178e-08,27.857180845570696,27.857180845570692,1.0000000000000002,1.0646922606530043,1.0982207700129942,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1314.0,7971.000000000019,1.6332886741781998,0.024216852418063,0.014827049743823071,3.4756404335257196e-08,20.214319337113366,20.214319337113366,1.0,1.0590749817016478,1.0924265958245272,,,,
tyto_torque_ratio_sample,https://database.tytorobotics.com/tests/dnq/lf40-2305-with-5040-prop,Per-sample torque/thrust ratio; low-thrust samples are noisier and should not dominate yaw coefficient calibration.,dnq,LF40 2305 with 5040 prop,,docs/data/raw/tyto_fpv_static_powertrain/dnq_lf40-2305-with-5040-prop.html,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1273.0,7135.99999999998,1.3109338367103,0.019659247280712,0.014996368794664384,3.5204644791945096e-08,14.690965699816873,14.690965699816871,1.0000000000000002,1.0711691996188846,1.1049016759999257,,,,
