row_type,name,case_name,slot_id,status_or_ready,metric,value,unit,performance_match_id,query_advance_ratio_j,query_rpm,slot_advance_ratio_j,slot_rpm,slot_kind,slot_coordinate_role,minimum_performance_neighbor_rows,execution_input_source_kind,direct_neighbor_binding_ready,scattered_fit_required,post_review_full_simulation_lookup_allowed,archive_curve_shape_guard_passed,negative_thrust_tail_row_count,archive_curve_eta_formula_residual,archive_curve_ct_increase,coefficient_payload_reviewed,reviewed_grid_slot_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,note
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_source,source_fingerprint,source,,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,review-source-license-before-importing-raw-rows,source identity and raw import boundary
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_source,lookup_seed,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Seed-Packet,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,review-source-license-then-import-reviewed-ct-cp-j-rows-into-offline-lookup,seed provides J and RPM domains
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_source,query_envelope,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Query-Envelope-Packet,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,review-source-license-then-run-reviewed-lookup-query-envelope-with-real-ct-cp-j-rows,query envelope supplies target J and RPM
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_source,interpolation_policy,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Interpolation-Policy-Packet,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,review-source-license-then-bind-reviewed-ct-cp-j-rows-to-interpolation-policy,policy supplies minimum neighbor counts
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_source,scattered_fit_execution_handoff,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Scattered-Surface-Fit-Execution-Handoff-Packet,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,complete-scattered-surface-fit-execution-handoff-before-lookup-run,handoff rows expand into grid slots
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_source,lookup_execution_contract,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,feed-all-required-bracketing-neighbors,execution consumes reviewed slots later
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_source,lookup_acceptance_gate,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Acceptance-Gate-Packet,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,feed-accepted-lookup-execution-results-to-acceptance-gate,acceptance receives execution diagnostics
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_source,openfoam_validation_plan,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Validation-Plan-Packet,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,keep-cfd-validation-offline-until-lookup-reference-exists,OpenFOAM remains external validation
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_source,reviewed_grid_input,source,,BLOCKED,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Grid-Input-Packet,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,fill-reviewed-grid-input-slots-with-reviewed-ct-cp-payloads-before-lookup-run,this packet
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_field,preset_name,field,,READY,required,true,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,join-grid-slot-to-preset,field required
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_field,case_name,field,,READY,required,true,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,join-grid-slot-to-query-case,field required
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_field,slot_id,field,,READY,required,true,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,provide-stable-lookup-row-identifier,field required
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_field,slot_kind,field,,READY,required,true,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,separate-static-bilinear-and-edge-slots,field required
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_field,slot_coordinate_role,field,,READY,required,true,text,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,describe-lower-upper-corner-role,field required
propeller_archive_ct_cp_j_lookup_reviewed_grid_input_field,query_advance_ratio_j,field,,READY,required,true,J,,,,,,,,,,,false,false,false,0,0.0,0.0,false,false,false,false,trace-slot-back-to-requested-j,field required
