row_type,scenario,preset,ambient_case,review_case,flight_phase,metric,value,unit,spool_sample_count,release_sample_count,dt_seconds,target_max_rpm_scale,contracted_max_rpm,max_target_omega_after_release_ratio,max_esc_electrical_output_after_release,max_motor_omega_overspeed_ratio,max_motor_omega_rise_after_release_ratio,max_derated_omega_above_neutral_max_omega_ratio,failsafe_activated,processed_disarmed,failsafe_clamp_reviewed,config_mutation_allowed,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_source,source_fingerprint,source_description,PropellerArchiveSourceFingerprint,text,,source_reference,archive-identity,reference,,,,,,,,,,,,,,,,,,READY,archive identity checked before reviewed import,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_source,control_contract,source_description,DerateControlContract,text,,source_reference,target-max-rpm-scale-contract,reference,,,,,,,,,,,,,,,,,,READY,accepted target max-RPM scale rows feed this review,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlContract.java,control_contract,review uses accepted racingQuad and apDrone rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_source,target_omega_hook,source_description,DronePhysics.targetOmega,text,,source_reference,target-omega-scale-before-motor-response,reference,,,,,,,,,,,,,,,,,,READY,hook target is clamped through target omega before motor response,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,control_boundary,neutral default stays scale 1.0
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_source,failsafe_input_path,source_description,DroneInput.controlAvailable,text,,source_reference,link-loss-failsafe-disarm,reference,,,,,,,,,,,,,,,,,,READY,link-loss path is sampled only after failsafe activates,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,failsafe_path,processed input must be disarmed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_source,no_load_overspeed_guard,source_description,MotorOmegaRelease,text,,source_reference,no-load-release-overspeed-guard,reference,,,,,,,,,,,,,,,,,,READY,release review checks no post-release omega rise or overspeed above maxOmega margin,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,no_load_release,APDrone coastdown above neutral is recorded but bounded
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_source,runtime_leak_guard,source_description,RuntimeLeakGuard,text,,source_reference,closed-runtime-and-playable-paths,reference,,,,,,,,,,,,,,,,,,READY,review is lab evidence only and opens no runtime coupling,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,leak_guard,playable may read later only after separate handoff review
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,direct_disarm_target_zero,direct_disarm,failsafe_clamp_reviewed,true,boolean,120,80,0.005,0.9715982698017723,28310.07356552835,0.0,0.0,0.0,0.0,0.0,false,true,true,false,false,false,false,REVIEWED,target-omega-derate-failsafe-clamp-and-no-load-release-reviewed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,direct_disarm,target omega and ESC electrical output drop to zero after disarm
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,link_loss_failsafe_target_zero,failsafe_disarm,failsafe_clamp_reviewed,true,boolean,120,120,0.005,0.9715982698017723,28310.07356552835,0.0,0.0,0.0,0.0,0.0,true,true,true,false,false,false,false,REVIEWED,target-omega-derate-failsafe-clamp-and-no-load-release-reviewed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,failsafe_disarm,review window opens after control failsafe activates
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_review,synthetic_derate_validation_all_pass,racingQuad,cold_sea_level_minus10c,high_rpm_no_load_disarm_release,no_load_overspeed_release,failsafe_clamp_reviewed,true,boolean,220,120,0.005,0.9715982698017723,28310.07356552835,0.0,0.0,0.0,0.0,0.0,false,true,true,false,false,false,false,REVIEWED,target-omega-derate-failsafe-clamp-and-no-load-release-reviewed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,no_load_release,high-RPM release has no target cap overspeed or omega rise
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,direct_disarm_target_zero,direct_disarm,failsafe_clamp_reviewed,true,boolean,120,80,0.005,0.9910302351978083,29472.808857731186,0.0,0.0,0.0,0.0,0.0,false,true,true,false,false,false,false,REVIEWED,target-omega-derate-failsafe-clamp-and-no-load-release-reviewed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,direct_disarm,target omega and ESC electrical output drop to zero after disarm
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,link_loss_failsafe_target_zero,failsafe_disarm,failsafe_clamp_reviewed,true,boolean,120,120,0.005,0.9910302351978083,29472.808857731186,0.0,0.0,0.0,0.0,0.0026783389521555525,true,true,true,false,false,false,false,REVIEWED,target-omega-derate-failsafe-clamp-and-no-load-release-reviewed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,failsafe_disarm,APDrone derated coastdown can exceed neutral briefly but remains bounded
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_review,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,high_rpm_no_load_disarm_release,no_load_overspeed_release,failsafe_clamp_reviewed,true,boolean,220,120,0.005,0.9910302351978083,29472.808857731186,0.0,0.0,0.0,0.0,0.014351974350292548,false,true,true,false,false,false,false,REVIEWED,target-omega-derate-failsafe-clamp-and-no-load-release-reviewed,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,no_load_release,APDrone high-RPM release records bounded derated-above-neutral coastdown
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,row_count,6,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,six review rows
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,reviewed_row_count,6,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,every row reviewed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,preset_count,2,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,racingQuad and apDrone
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,review_case_count,3,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,direct failsafe and no-load cases
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,failsafe_activation_row_count,2,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,link-loss rows activate failsafe
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,disarmed_release_row_count,6,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,all release windows process disarmed input
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,max_target_omega_after_release_ratio,0.0,ratio,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,target omega drops to zero
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,max_esc_electrical_output_after_release,0.0,ratio,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,ESC electrical output drops to zero
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,max_motor_omega_overspeed_ratio,0.0,ratio,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,no overspeed above 1.08 maxOmega
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,max_motor_omega_rise_after_release_ratio,0.0,ratio,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,no post-release motor omega rise
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,max_derated_omega_above_neutral_max_omega_ratio,0.014351974350292548,ratio,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,bounded APDrone derated coastdown above neutral
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,min_target_max_rpm_scale,0.9715982698017723,ratio,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,racingQuad limiting scale
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,max_equivalent_max_thrust_loss_percent,5.599680211820246,percent,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,racingQuad limiting thrust capacity loss
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,config_mutation_allowed_count,0,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,no config mutation opened
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,runtime_coupling_allowed_count,0,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,runtime coupling closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,playable_reference_allowed_count,0,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,playable handoff closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,gameplay_auto_apply_allowed_count,0,count,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,gameplay auto apply closed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_failsafe_clamp_summary,all,,,,,failsafe_clamp_reviewed,true,boolean,,,,,,,,,,,,,,,,,,READY,failsafe-clamp-review-summary-recorded,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookFailsafeClampReview.java,summary,all release safety rows reviewed
