row_type,name,source,paper,g1,g2,g3,g4,g5,k_tx_n_per_rpm2,k_ty_n_per_rpm2,k_i_nm_per_rpm2,drag_x_n_per_m_s,drag_y_n_per_m_s,note,height_m,additional_thrust_fraction,thrust_multiplier,leveling_torque_shape,leveling_torque_shape_normalized_to_peak,peak_torque_shape_height_m,preset,radius_m,h_over_r,current_thrust_multiplier,zju_formula_thrust_multiplier,current_extra_thrust_fraction,zju_extra_thrust_fraction,current_extra_over_zju_extra,zju_leveling_torque_shape_normalized_to_peak,low_height_m,high_height_m,sqrt_mean_thrust_low_over_high,predicted_drag_ratio_from_sqrt_thrust,measured_drag_x_low_over_high,measured_drag_y_low_over_high,measured_x_over_predicted,measured_y_over_predicted,thrust_coefficient_change_percent_approx,torque_coefficient_change_percent_upper_bound,lateral_speed_m_s,current_extra_ground_drag_force_n,zju_measured_drag_x_low_over_high,zju_measured_drag_y_low_over_high
zju_formula_constants,ZJU ground-effect model constants,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,0.01804,0.007339,-0.3365,0.04126,0.06494,4.678e-08,3.588e-08,6.3859e-10,0.397,0.33,"Paper equations: F_G(h)=g2/(h^2+g1), M_G(h)=g5*h/(h^2+g3*h+g4)^2; README provides identified constants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zju_formula_height_scan,ZJU formula h=0.050m,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,,,,,,,,,,,Formula scan from identified ZJU ground-effect coefficients.,0.05,0.3573028237585199,1.3573028237585198,4.475569740062371,0.06521816251372253,0.186,,,,,,,,,,,,,,,,,,,,,,,
zju_formula_height_scan,ZJU formula h=0.075m,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,,,,,,,,,,,Formula scan from identified ZJU ground-effect coefficients.,0.075,0.3101204310162688,1.3101204310162688,10.393409792897225,0.1514531396700882,0.186,,,,,,,,,,,,,,,,,,,,,,,
zju_formula_height_scan,ZJU formula h=0.100m,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,,,,,,,,,,,Formula scan from identified ZJU ground-effect coefficients.,0.1,0.2617332382310984,1.2617332382310984,20.940814628000663,0.30515030060947124,0.186,,,,,,,,,,,,,,,,,,,,,,,
zju_formula_height_scan,ZJU formula h=0.150m,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,,,,,,,,,,,Formula scan from identified ZJU ground-effect coefficients.,0.15,0.18103108041440552,1.1810310804144055,55.19254569171925,0.8042677521585084,0.186,,,,,,,,,,,,,,,,,,,,,,,
zju_formula_height_scan,ZJU formula h=0.200m,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,,,,,,,,,,,Formula scan from identified ZJU ground-effect coefficients.,0.2,0.12644727773949,1.12644727773949,66.6455940427419,0.9711619828412166,0.186,,,,,,,,,,,,,,,,,,,,,,,
zju_formula_height_scan,ZJU formula h=0.300m,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,,,,,,,,,,,Formula scan from identified ZJU ground-effect coefficients.,0.3,0.0679285449833395,1.0679285449833396,21.20614205285078,0.30901666134525124,0.186,,,,,,,,,,,,,,,,,,,,,,,
zju_formula_height_scan,ZJU formula h=0.500m,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,,,,,,,,,,,Formula scan from identified ZJU ground-effect coefficients.,0.5,0.027380241754961947,1.027380241754962,2.1458603324077106,0.031269553602971324,0.186,,,,,,,,,,,,,,,,,,,,,,,
zju_formula_height_scan,ZJU formula h=0.750m,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,,,,,,,,,,,Formula scan from identified ZJU ground-effect coefficients.,0.75,0.01264167843731698,1.012641678437317,0.39446376092680535,0.005748140049213057,0.186,,,,,,,,,,,,,,,,,,,,,,,
zju_formula_height_scan,ZJU formula h=1.000m,https://raw.githubusercontent.com/ZJU-FAST-Lab/Ground-effect-controller/master/README.md,https://arxiv.org/abs/2506.19424,,,,,,,,,,,Formula scan from identified ZJU ground-effect coefficients.,1.0,0.007208950532395583,1.0072089505323956,0.1307464152828091,0.0019052414452784435,0.186,,,,,,,,,,,,,,,,,,,,,,,
