row_type,preset_name,case_name,slot_id,status,metric,value,unit,performance_match_id,review_priority,draft_coefficient_source_kind,draft_ct_coefficient,draft_cp_coefficient,draft_eta_at_slot,source_review_complete,coefficient_payload_review_complete,draft_review_passed,coefficient_payload_guards_passed,negative_ct_risk_resolved,distance_risk_resolved,performance_only_coverage,coefficient_payload_promotion_allowed,full_simulation_promotion_allowed,performance_only_promotion_allowed,lookup_execution_input_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,blocker_count,next_required_action,note
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate_source,source_fingerprint,source,,READY,source_id,User-Propeller-Archive-Source-Fingerprint-Packet,text,not_applicable,INFO,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,0,review-source-license-before-importing-raw-rows,archive identity required before payload promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate_source,coefficient_payload_source_window,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Source-Window-Packet,text,not_applicable,INFO,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,0,review-source-license-then-fill-coefficient-payload-source-windows,source windows provide archive support context
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate_source,coefficient_payload_draft,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Draft-Packet,text,not_applicable,INFO,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,0,manual-review-coefficient-payload-drafts-before-lookup-execution,draft values are promotion inputs only
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate_source,draft_review_queue,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Coefficient-Payload-Draft-Review-Queue-Packet,text,not_applicable,INFO,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,0,review-draft-coefficient-risk-queue-before-promoting-payloads,review queue supplies risk priority and blockers
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate_source,reviewed_coefficient_payload,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Reviewed-Coefficient-Payload-Packet,text,not_applicable,INFO,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,0,review-and-bind-ct-cp-coefficient-payloads-to-grid-slots-before-lookup-execution,downstream reviewed payload gate
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate_source,lookup_execution_contract,source,,READY,source_id,User-Propeller-Archive-CT-CP-J-Lookup-Execution-Contract-Packet,text,not_applicable,INFO,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,0,complete-scattered-surface-fit-execution-handoff-before-lookup-run,promotion gate must pass before execution rows exist
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate_source,raw_row_boundary,source,,READY,raw_rows_vendored,false,boolean,not_applicable,INFO,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,0,complete-source-payload-and-risk-review-before-coefficient-promotion,raw archive rows remain outside repository
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate_source,runtime_boundary,source,,READY,runtime_coupling_allowed,false,boolean,not_applicable,INFO,SOURCE_REFERENCE,0.000000,0.000000,0.000000000,false,false,false,false,false,false,false,false,false,false,false,false,false,0,keep-runtime-and-gameplay-auto-apply-closed,no runtime or gameplay authority
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate,racingQuad,static_anchor_low_rpm,static-anchor,BLOCKED,coefficient_payload_promotion_allowed,false,boolean,da4052 5.0x3.75 - 3,LOW,DIRECT_STATIC_SAMPLE_DRAFT,0.139069,0.116804,0.000000000,false,false,false,true,true,true,false,false,false,false,false,false,false,3,complete-source-review-before-payload-promotion,source-review-blocks-payload-promotion
propeller_archive_ct_cp_j_lookup_coefficient_payload_promotion_gate,racingQuad,mid_domain_mid_rpm,j0-r0,BLOCKED,coefficient_payload_promotion_allowed,false,boolean,da4052 5.0x3.75 - 3,MEDIUM,LOCAL_IDW_8_NEIGHBOR_DRAFT,0.106433175,0.082779485,0.418020889,false,false,false,true,true,true,false,false,false,false,false,false,false,3,complete-source-review-before-payload-promotion,source-review-blocks-payload-promotion
