row_type,name,metric,value,unit,source_file,evidence_role,required,current_satisfied,post_review_satisfied,quality_contract_ready,runtime_coupling_allowed,gameplay_auto_apply_allowed,next_required_action,status,note
propeller_archive_ct_cp_j_openfoam_solver_quality_source,openfoam_numerical_budget,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Numerical-Budget-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamNumericalBudget.java,numerical_budget,true,true,true,false,false,false,review-openfoam-mesh-yplus-and-time-step-against-run-setup,READY,numerical budget supplies expected mesh timestep Mach Reynolds and domain limits
propeller_archive_ct_cp_j_openfoam_solver_quality_source,openfoam_run_setup,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Run-Setup-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamRunSetup.java,run_setup,true,true,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,READY,run setup supplies case keys and dimensional run coordinates
propeller_archive_ct_cp_j_openfoam_solver_quality_source,openfoam_result_contract,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Result-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamResultContract.java,result_contract,true,true,true,false,false,false,extract-ct-cp-eta-from-openfoam-force-power-results,READY,quality gate is upstream of coefficient result acceptance
propeller_archive_ct_cp_j_openfoam_solver_quality_source,openfoam_dimensional_residual_contract,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Dimensional-Residual-Contract-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamDimensionalResidualContract.java,si_result_contract,true,true,true,false,false,false,run-external-openfoam-si-residual-extraction,READY,quality gate is upstream of dimensional wake residual acceptance
propeller_archive_ct_cp_j_openfoam_solver_quality_source,case_manifest,source_id,User-Propeller-Archive-CT-CP-J-OpenFOAM-Case-Manifest-Packet,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamCaseManifest.java,case_manifest,true,true,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,READY,quality samples must join to manifest-backed cases
propeller_archive_ct_cp_j_openfoam_solver_quality_source,openfoam_dev_repository,source_url,https://github.com/OpenFOAM/OpenFOAM-dev,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityContract.java,external_solver_source,true,true,true,false,false,false,keep-openfoam-code-out-of-repository,READY,external solver source reference only
propeller_archive_ct_cp_j_openfoam_solver_quality_source,source_case_sha256,case_provenance,external-case-archive-hash-required,sha256,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityContract.java,case_provenance,true,false,true,false,false,false,author-external-openfoam-case-template-and-record-case-sha256,BLOCKED,no external case archive hash or solver QA summary is available yet
propeller_archive_ct_cp_j_openfoam_solver_quality_source,runtime_boundary,source_id,DronePhysics runtime boundary,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityContract.java,leak_guard,true,true,true,false,false,false,keep-runtime-coupling-and-gameplay-auto-apply-closed,READY,solver quality contract cannot alter runtime physics or playable tuning
propeller_archive_ct_cp_j_openfoam_solver_quality_field,case_key,unit,text,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityContract.java,quality_field,true,false,true,false,false,false,join-quality-evidence-to-manifest-case,BLOCKED,required compact QA field
propeller_archive_ct_cp_j_openfoam_solver_quality_field,source_case_sha256,unit,sha256,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityContract.java,quality_field,true,false,true,false,false,false,prove-exact-external-case-archive-identity,BLOCKED,required compact QA field
propeller_archive_ct_cp_j_openfoam_solver_quality_field,quality_channel_count,unit,count,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityContract.java,quality_field,true,false,true,false,false,false,prove-compact-qa-payload-complete,BLOCKED,required compact QA field
propeller_archive_ct_cp_j_openfoam_solver_quality_field,max_blade_cell_courant,unit,ratio,text,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveCtCpJOpenFoamSolverQualityContract.java,quality_field,true,false,true,false,false,false,gate-blade-cell-timestep-stability,BLOCKED,required compact QA field
