row_type,scenario,preset,ambient_case,forward_speed_mps,metric,value,unit,peak_sample_index,peak_time_seconds,state_velocity_delta_mps,attitude_euler_delta_rad,angular_velocity_delta_radps,propeller_scale_drop_average,derated_propeller_thrust_scale_range,derated_advance_ratio_range,residual_thrust_deficit_ratio,propeller_scale_drop_over_formula_archive_gap,free_flight_state_divergence,propeller_scale_spread_large,propeller_scale_drop_exceeds_archive_gap,residual_deficit_above_threshold,runtime_coupling_allowed,playable_reference_allowed,gameplay_auto_apply_allowed,dominant_dispersion_bucket,status,message,source_file,evidence_role,note
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic_source,source_fingerprint,all,all,all,source_description,PropellerArchiveSourceFingerprint,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,false,NA,READY,archive identity checked before rotor-state dispersion diagnostic,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveSourceFingerprint.java,source_identity,raw rows remain outside repository
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic_source,settled_breakdown,all,all,all,source_description,SettledThrustModelBreakdownDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,false,NA,BLOCKED,APDrone settled peak rows supply thrust residuals and peak sample indexes,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookSettledThrustModelBreakdownDiagnostic.java,upstream_diagnostic,all APDrone rows remain over contract
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic_source,advance_scale_gap,all,all,all,source_description,ForwardAdvanceScaleGapDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,false,NA,BLOCKED,advance-scale formula stays inside compact archive tolerance,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookForwardAdvanceScaleGapDiagnostic.java,upstream_gap_diagnostic,rotor-state dispersion checks the next blocker
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic_source,drone_physics,all,all,all,source_description,DronePhysics.step,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,false,NA,READY,neutral and derated APDrone paths are replayed to the same peak samples,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DronePhysics.java,simulation_source,no behavior change is applied
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic_source,drone_state,all,all,all,source_description,DroneState per-rotor telemetry,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,false,NA,READY,diagnostic reads velocity orientation angular velocity and per-rotor advance propeller scale thrust stall and coning,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneState.java,state_telemetry,free-flight state divergence is measured rather than assumed
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic_source,runtime_leak_guard,all,all,all,source_description,RotorStateDispersionDiagnostic,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,false,false,false,false,false,false,false,NA,READY,diagnostic rows do not enable runtime coupling playable export or gameplay auto apply,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookRotorStateDispersionDiagnostic.java,leak_guard,lab evidence only
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,0.0,rotor_state_dispersion,0.478714028632105,mps,255,1.28,0.478714028632105,0.40862814603348924,1.265064423017522,0.102702501302612,0.220315428368107,0.029216560248302,0.09981456177414405,4.843538258651253,false,true,true,true,false,false,false,residual-thrust-scale-before-state-dispersion,BLOCKED,residual-thrust-scale-remains-above-threshold,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookRotorStateDispersionDiagnostic.java,dispersion_row,static peak has residual deficit and propeller-scale spread without velocity-delta threshold crossing
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,8.0,rotor_state_dispersion,0.100677171423926,mps,211,1.06,0.100677171423926,0.039142428237889,0.292689293101411,0.006355652051889,0.098062774055516,0.032758448425601,0.032355506573462,0.168570886244906,false,false,false,false,false,false,false,local-propeller-scale-spread-without-large-state-divergence,BLOCKED,local-propeller-scale-spread-does-not-explain-global-failure,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookRotorStateDispersionDiagnostic.java,dispersion_row,8 mps remains the low-dispersion reference row
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,16.0,rotor_state_dispersion,0.832887430825010,mps,217,1.09,0.832887430825010,0.175840245983065,0.939718434497455,0.105627947245677,0.154960337722722,0.019365455525296,0.011638582261206,3.918209976562119,true,true,true,false,false,false,false,free-flight-state-divergence-with-per-rotor-propeller-scale-spread,BLOCKED,free-flight-state-divergence-amplifies-per-rotor-propeller-scale-spread,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookRotorStateDispersionDiagnostic.java,dispersion_row,first speed row crossing state-divergence threshold
propeller_archive_rotor_spec_retune_ambient_compressibility_derate_control_hook_rotor_state_dispersion_diagnostic,synthetic_derate_validation_all_pass,apDrone,cold_sea_level_minus10c,22.0,rotor_state_dispersion,1.6408442519881623,mps,345,1.73,1.6408442519881623,0.331090324189972,2.2872598852152373,0.06658985181073551,0.121817982446817,0.017032309856185,0.042638060481761775,1.860721012895054,true,true,true,true,false,false,false,free-flight-state-divergence-with-per-rotor-propeller-scale-spread,BLOCKED,free-flight-state-divergence-amplifies-per-rotor-propeller-scale-spread,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/PropellerArchiveRotorSpecRetuneAmbientCompressibilityDerateControlHookRotorStateDispersionDiagnostic.java,dispersion_row,blackbox forward-punchout speed has strong velocity and angular divergence
