row_type,name,protocol,rate_hz,interval_ms,resolution_steps,step_percent,source,note,bit_rate_kbps,raw_frame_time_us,sample_fraction,rc_rate_hz,rc_interval_ms,nearest_elrs_packet_rate_hz,rc_rate_over_elrs_250,rc_rate_over_elrs_500,rc_resolution_steps,rc_step_percent,rc_latency_ms,rc_latency_frames,rc_smoothing_ms,rc_smoothing_frames,esc_rate_hz,esc_interval_ms,esc_resolution_steps,esc_step_percent,esc_resolution_over_dshot_throttle_steps,esc_interval_over_dshot300_raw_frame,esc_interval_over_dshot600_raw_frame,control_latency_ms
rc_protocol_reference,elrs_50hz,ExpressLRS,50.0,20.0,1024.0,0.09775171065493646,https://www.expresslrs.org/info/signal-health/,ELRS low-rate/range-oriented air packet anchor; channel update depends on switch mode.,,,,,,,,,,,,,,,,,,,,,,
rc_protocol_reference,elrs_100hz,ExpressLRS,100.0,10.0,1024.0,0.09775171065493646,https://www.expresslrs.org/software/switch-config/,ELRS full-resolution switch modes are associated with 100 Hz and 333 Hz packet-rate modes.,,,,,,,,,,,,,,,,,,,,,,
rc_protocol_reference,elrs_150hz,ExpressLRS,150.0,6.666666666666667,1024.0,0.09775171065493646,https://www.expresslrs.org/software/switch-config/,ELRS switch-config page lists 150 Hz among packet rates that support hybrid/wide modes.,,,,,,,,,,,,,,,,,,,,,,
rc_protocol_reference,elrs_250hz,ExpressLRS,250.0,4.0,1024.0,0.09775171065493646,https://www.expresslrs.org/quick-start/transmitters/lua-howto/,ELRS Lua guide notes 250 Hz as the fastest packet rate usable with 400 kbaud external modules.,,,,,,,,,,,,,,,,,,,,,,
rc_protocol_reference,elrs_333hz,ExpressLRS,333.0,3.003003003003003,1024.0,0.09775171065493646,https://www.expresslrs.org/software/switch-config/,ELRS full-resolution switch modes are associated with 100 Hz and 333 Hz packet-rate modes.,,,,,,,,,,,,,,,,,,,,,,
rc_protocol_reference,elrs_500hz,ExpressLRS,500.0,2.0,1024.0,0.09775171065493646,https://www.expresslrs.org/software/switch-config/,ELRS switch-config page lists 500 Hz and F500 packet-rate modes.,,,,,,,,,,,,,,,,,,,,,,
rc_protocol_reference,elrs_f1000,ExpressLRS,1000.0,1.0,1024.0,0.09775171065493646,https://www.expresslrs.org/quick-start/transmitters/lua-howto/,ELRS F1000 is a low-latency FLRC packet-rate mode with reduced range.,,,,,,,,,,,,,,,,,,,,,,
esc_protocol_reference,dshot150,DShot,9375.0,0.10666666666666667,2000.0,0.05002501250625312,https://betaflight.com/docs/development/API/Dshot,Raw one-way 16-bit frame timing; real command cadence is usually locked to FC loop/ESC telemetry scheduling.,150.0,106.66666666666667,,,,,,,,,,,,,,,,,,,,
esc_protocol_reference,dshot300,DShot,18750.0,0.05333333333333334,2000.0,0.05002501250625312,https://betaflight.com/docs/development/API/Dshot,Raw one-way 16-bit frame timing; real command cadence is usually locked to FC loop/ESC telemetry scheduling.,300.0,53.333333333333336,,,,,,,,,,,,,,,,,,,,
esc_protocol_reference,dshot600,DShot,37500.0,0.02666666666666667,2000.0,0.05002501250625312,https://betaflight.com/docs/development/API/Dshot,Raw one-way 16-bit frame timing; real command cadence is usually locked to FC loop/ESC telemetry scheduling.,600.0,26.666666666666668,,,,,,,,,,,,,,,,,,,,
log_reference,blackbox_4k_1_4,Betaflight blackbox,1000.0,1.0,,,https://betaflight.com/docs/wiki/guides/current/Black-Box-logging-and-usage,Blackbox guide states sample-rate fractions are PID-loop fractions and 1 kHz+ logging is possible on suitable SD cards.,,,0.25,,,,,,,,,,,,,,,,,,,
log_reference,blackbox_8k_1_4,Betaflight blackbox,2000.0,0.5,,,https://betaflight.com/docs/wiki/guides/current/Black-Box-logging-and-usage,Blackbox guide states sample-rate fractions are PID-loop fractions and 1 kHz+ logging is possible on suitable SD cards.,,,0.25,,,,,,,,,,,,,,,,,,,
log_reference,blackbox_sd_1khz_anchor,Betaflight blackbox,1000.0,1.0,,,https://betaflight.com/docs/wiki/guides/current/Black-Box-logging-and-usage,Blackbox guide states sample-rate fractions are PID-loop fractions and 1 kHz+ logging is possible on suitable SD cards.,,,1.0,,,,,,,,,,,,,,,,,,,
