row_type,name,source,figure,vehicle,dynamic_pressure_lbf_ft2,dynamic_pressure_pa,wind_speed_from_q_ft_s,wind_speed_from_q_m_s,yaw_deg,pitch_deg,rotor_rpm,is_mid_rpm_reference,drag_force_lbf,drag_force_n,drag_over_q_ft2,equivalent_cda_m2,equivalent_quadratic_c_n_per_m_s2,drag_force_10m_s_n,source_context,note,vehicle_group,sample_count,all_rpm_sample_count,mid_rpm_values,drag_force_lbf_min,drag_force_lbf_median,drag_force_lbf_max,drag_force_n_median,all_rpm_drag_force_lbf_min,all_rpm_drag_force_lbf_max,equivalent_cda_m2_median,equivalent_quadratic_c_n_per_m_s2_median,drag_force_10m_s_n_median,reference_source,preset,axis,reference_vehicle_group,reference_pitch_deg,reference_yaw_deg,reference_dynamic_pressure_lbf_ft2,reference_wind_speed_from_q_m_s,reference_drag_force_lbf_median,reference_drag_force_n_median,reference_equivalent_cda_m2_median,reference_equivalent_quadratic_c_n_per_m_s2_median,current_linear_drag_coefficient,current_body_drag_coefficient_axis,current_total_quadratic_c_n_per_m_s2,current_equivalent_cda_m2,current_drag_force_at_reference_speed_n,current_drag_force_at_reference_speed_over_nasa_powered_median,current_cda_over_nasa_powered_median,current_c_over_nasa_powered_median,reference_drag_force_10m_s_n_median,current_drag_force_10m_s_n,current_drag_force_10m_s_over_nasa_powered_median
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig18_3DR_SOLO_4600rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 18,3DR SOLO,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,4600.0,0.0,0.28,1.24550205227294,0.5833333333333334,0.05419344000038014,0.03319348200023284,3.319348200023284,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig18_3DR_SOLO_5100rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 18,3DR SOLO,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,5100.0,0.0,0.3,1.3344664845781498,0.625,0.05806440000040728,0.03556444500024946,3.556444500024946,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig18_3DR_SOLO_5700rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 18,3DR SOLO,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,5700.0,1.0,0.36,1.6013597814937799,0.75,0.06967728000048874,0.042677334000299355,4.267733400029935,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig18_3DR_SOLO_6300rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 18,3DR SOLO,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,6300.0,0.0,0.47,2.0906641591724346,0.9791666666666666,0.09096756000063806,0.055717630500390816,5.571763050039082,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig18_3DR_SOLO_6800rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 18,3DR SOLO,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,6800.0,0.0,0.57,2.535486320698485,1.1875,0.11032236000077383,0.06757244550047398,6.757244550047398,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig20_DJI_Phantom_3_4200rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 20,DJI Phantom 3,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,4200.0,0.0,0.31,1.3789487007307548,0.6458333333333334,0.05999988000042085,0.036749926500257775,3.6749926500257777,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig20_DJI_Phantom_3_4800rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 20,DJI Phantom 3,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,4800.0,0.0,0.35,1.5568775653411748,0.7291666666666666,0.06774180000047517,0.04149185250029104,4.149185250029104,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig20_DJI_Phantom_3_5300rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 20,DJI Phantom 3,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,5300.0,1.0,0.41,1.8237708622568047,0.8541666666666666,0.07935468000055661,0.04860474150034093,4.860474150034093,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig20_DJI_Phantom_3_5800rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 20,DJI Phantom 3,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,5800.0,0.0,0.45,2.001699726867225,0.9375000000000001,0.08709660000061092,0.053346667500374194,5.334666750037419,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_powered_full_airframe_drag_digitized,NASA_Fig20_DJI_Phantom_3_6400rpm_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 20,DJI Phantom 3,0.48,22.9825243104,20.096982526148665,6.125560273970113,0.0,0.0,6400.0,0.0,0.53,2.357557456088065,1.1041666666666667,0.10258044000071953,0.06283051950044072,6.283051950044072,"Low-precision visual/pixel digitization of NASA powered full-airframe drag plots on page 9: Figs. 18, 20, and 22 at q=0.48 lb/ft^2, yaw=0 deg, pitch=0 deg.","Use as an order-of-magnitude powered vehicle drag anchor. Points were digitized from plotted PDF figures, not raw tunnel tables.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
