row_type,name,source,figure,vehicle,dynamic_pressure_lbf_ft2,dynamic_pressure_pa,pitch_deg,drag_over_q_ft2,equivalent_cda_m2,equivalent_quadratic_c_n_per_m_s2,drag_force_10m_s_n,source_context,note,vehicle_group,sample_count,drag_over_q_ft2_min,drag_over_q_ft2_median,drag_over_q_ft2_max,equivalent_cda_m2_median,equivalent_quadratic_c_n_per_m_s2_median,drag_force_10m_s_n_median,reference_source,preset,axis,reference_vehicle_group,reference_pitch_deg,reference_drag_over_q_ft2_median,reference_equivalent_cda_m2_median,reference_equivalent_quadratic_c_n_per_m_s2_median,current_linear_drag_coefficient,current_body_drag_coefficient_axis,current_total_quadratic_c_n_per_m_s2,current_equivalent_cda_m2,current_cda_over_nasa_small_quad_median,current_c_over_nasa_small_quad_median,reference_drag_force_10m_s_n_median,current_drag_force_10m_s_n,current_drag_force_10m_s_over_nasa_small_quad_median
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_0.48q_-40deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,0.48,22.9825243104,-40.0,0.415,0.0385547616,0.02361479148,2.361479148,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_0.48q_-20deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,0.48,22.9825243104,-20.0,0.34,0.0315870336,0.019347058080000003,1.9347058080000004,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_0.48q_-10deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,0.48,22.9825243104,-10.0,0.295,0.0274063968,0.01678641804,1.6786418040000002,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_0.48q_-5deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,0.48,22.9825243104,-5.0,0.265,0.024619305600000002,0.015079324680000002,1.5079324680000001,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_0.48q_0deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,0.48,22.9825243104,0.0,0.225,0.020903184000000002,0.012803200200000002,1.2803200200000002,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_0.48q_5deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,0.48,22.9825243104,5.0,0.215,0.019974153600000003,0.012234169080000003,1.2234169080000004,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_0.48q_10deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,0.48,22.9825243104,10.0,0.205,0.0190451232,0.01166513796,1.166513796,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_0.48q_20deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,0.48,22.9825243104,20.0,0.205,0.0190451232,0.01166513796,1.166513796,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_0.48q_40deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,0.48,22.9825243104,40.0,0.24,0.022296729600000002,0.013656746880000003,1.3656746880000004,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_1.90q_-40deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,1.9,90.972492062,-40.0,0.345,0.0320515488,0.019631573640000004,1.9631573640000004,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_1.90q_-20deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,1.9,90.972492062,-20.0,0.295,0.0274063968,0.01678641804,1.6786418040000002,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_1.90q_-10deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,1.9,90.972492062,-10.0,0.255,0.023690275200000003,0.014510293560000003,1.4510293560000003,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
reference_nasa_bare_airframe_dragq_digitized,NASA_Fig30_3DR_SOLO_1.90q_-5deg,https://rotorcraft.arc.nasa.gov/Publications/files/72-2016-374.pdf,Fig. 30,3DR SOLO,1.9,90.972492062,-5.0,0.24,0.022296729600000002,0.013656746880000003,1.3656746880000004,Low-precision visual digitization of NASA bare-airframe Drag/q plot with DAx8 removed. Drag/q in ft^2 is an equivalent flat-plate area.,"Use as an order-of-magnitude bare-airframe drag-area anchor only; digitized from a plotted figure, not from released tabular wind-tunnel data.",,,,,,,,,,,,,,,,,,,,,,,,,
