row_type,name,metric,value,unit,source,doi,note
apdrone_drag_packet_method,method,source_tables,apdrone_drag_speed_envelope_reference.csv; apdrone_open_field_speed_dynamics_reference.csv; apdrone_open_field_trim_candidate_reference.csv,,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,"APdrone open-field GPS rows lack attitude and wind; this packet is a drag sanity/envelope table, not a final CdA fit."
apdrone_drag_project_model,racingQuad,mass_kg,1.1,kg,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,racingQuad,max_total_thrust_n,54.0,N,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,racingQuad,level_horizontal_thrust_margin_n,52.91156617499406,N,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,racingQuad,total_drag_x_n_per_mps2,0.1825,N/(m/s)^2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,racingQuad,total_drag_z_n_per_mps2,0.1845,N/(m/s)^2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,racingQuad,equivalent_cda_x_m2,0.29795918367346935,m^2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,racingQuad,equivalent_cda_z_m2,0.3012244897959183,m^2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,racingQuad,drag_limited_level_speed_x_m_s,17.027224964743006,m/s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,racingQuad,drag_limited_level_speed_z_m_s,16.934685013428293,m/s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,apDrone,mass_kg,0.6284,kg,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,apDrone,max_total_thrust_n,54.0,N,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,apDrone,level_horizontal_thrust_margin_n,53.647214352662324,N,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,apDrone,total_drag_x_n_per_mps2,0.12179999999999999,N/(m/s)^2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,apDrone,total_drag_z_n_per_mps2,0.1234,N/(m/s)^2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,apDrone,equivalent_cda_x_m2,0.19885714285714282,m^2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,apDrone,equivalent_cda_z_m2,0.201469387755102,m^2,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,apDrone,drag_limited_level_speed_x_m_s,20.98697976861829,m/s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_project_model,apDrone,drag_limited_level_speed_z_m_s,20.8504776388633,m/s,drone-sim-core/src/main/java/com/tenicana/dronecraft/sim/DroneConfig.java,,Current project quadratic drag model parsed by APdrone Mendeley analysis.
apdrone_drag_speed_reference_point,selected_flight_gps_speed_mean,speed_m_s,1.5879677718872616,m/s,docs/data/raw/apdrone_zgsvdtxnfh_v2/selected_flight.csv,,Mean GPS_speed in Selected Flight.csv. Betaflight GPS_speed is interpreted as cm/s.
apdrone_drag_speed_reference_point,selected_flight_gps_speed_p95,speed_m_s,4.04,m/s,docs/data/raw/apdrone_zgsvdtxnfh_v2/selected_flight.csv,,P95 GPS_speed in Selected Flight.csv. Betaflight GPS_speed is interpreted as cm/s.
apdrone_drag_speed_reference_point,selected_flight_gps_speed_max,speed_m_s,5.75,m/s,docs/data/raw/apdrone_zgsvdtxnfh_v2/selected_flight.csv,,Max GPS_speed in Selected Flight.csv. Betaflight GPS_speed is interpreted as cm/s.
apdrone_drag_speed_reference_point,open_field_mean_gps_speed_across_files,speed_m_s,2.8686378391843625,m/s,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,Mean of per-file mean GPS speeds across the five open-field real-flight CSVs.
apdrone_drag_speed_reference_point,open_field_mean_of_file_max_gps_speed,speed_m_s,11.072,m/s,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,Mean of per-file GPS-speed maxima across the five open-field real-flight CSVs.
apdrone_drag_speed_reference_point,open_field_fastest_gps_speed,speed_m_s,18.72,m/s,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,Fastest GPS speed found across the five open-field real-flight CSVs.
apdrone_drag_speed_reference_point,open_field_flight_1_gps_speed_p95,speed_m_s,13.11,m/s,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,Per-file P95 GPS speed from an extracted APdrone open-field real-flight CSV.
apdrone_drag_speed_reference_point,open_field_flight_1_gps_speed_max,speed_m_s,16.02,m/s,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,Per-file max GPS speed from an extracted APdrone open-field real-flight CSV.
apdrone_drag_speed_reference_point,open_field_flight_2_gps_speed_p95,speed_m_s,17.25,m/s,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,Per-file P95 GPS speed from an extracted APdrone open-field real-flight CSV.
apdrone_drag_speed_reference_point,open_field_flight_2_gps_speed_max,speed_m_s,18.72,m/s,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,Per-file max GPS speed from an extracted APdrone open-field real-flight CSV.
apdrone_drag_speed_reference_point,open_field_flight_3_gps_speed_p95,speed_m_s,4.04,m/s,https://data.mendeley.com/datasets/zgsvdtxnfh/2,10.17632/zgsvdtxnfh.2,Per-file P95 GPS speed from an extracted APdrone open-field real-flight CSV.
