row_type,source_page,note,test_hash,title,creator,local_source_file,motor,propeller,esc,sample_count,max_thrust_n,max_thrust_kgf,rpm_at_max_thrust,current_a_at_max_thrust,voltage_v_at_max_thrust,electrical_power_w_at_max_thrust,torque_n_m_at_max_thrust,fit_k_n_per_rad2_s2,fit_r2,fit_point_count,fit_residual_rms_n,apdrone_configured_max_rotor_thrust_n,apdrone_configured_thrust_coefficient_n_per_rad2_s2,apdrone_max_thrust_over_tyto_max_thrust,apdrone_thrust_coefficient_over_tyto_fit,sample_index,time_s,throttle_us,rotation_speed_rpm,rotation_speed_rad_s,thrust_kgf,thrust_n,torque_n_m,voltage_v,current_a,electrical_power_w,mechanical_power_w,overall_efficiency_gf_per_w
tyto_dataset_metadata,https://database.tytorobotics.com,Tyto Robotics Database reports public static propulsion tests and embeds benchmark-data-table arrays in each selected test page.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_static_powertrain_summary,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,"Tyto public static test data. Use as comparable FPV static propulsion evidence, not APdrone exact motor/prop proof.",x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,8,12.547278947987,1.2794663772018988,25000.999999999865,22.185563411713,24.213822555542,537.1972957459436,0.14285765047121,1.7996539842396274e-06,0.9988870109198886,7.0,0.13849652454241018,13.5,1.3918976015517363e-06,1.0759304910620362,0.7734251215740384,,,,,,,,,,,,,
tyto_static_powertrain_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Strongest selected FPV-like source: 2207 1980KV motor and Azure Vanover prop on about 6S voltage.,x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,,,,,,,,,,,,,,,,,0,0.13682519999994,1000.0,0.0,,8.589884577038133e-05,0.0008423799158741099,9.2029429693583e-05,24.894841766357,-0.00095357894897482,0.02373919704645716,0.0,
tyto_static_powertrain_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Strongest selected FPV-like source: 2207 1980KV motor and Azure Vanover prop on about 6S voltage.,x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,,,,,,,,,,,,,,,,,1,4.4350289999999,1100.0,4710.000000000024,493.2300466136,0.03700787989550968,0.3629233253773,0.0046127626510588,24.886137008667,0.31430681228638,7.821882393316233,2.275153137399205,4.7313265572917285
tyto_static_powertrain_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Strongest selected FPV-like source: 2207 1980KV motor and Azure Vanover prop on about 6S voltage.,x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,,,,,,,,,,,,,,,,,2,8.711076,1200.0,8985.999999999975,941.0117195052601,0.14740507647960313,1.4455499932587,0.017260166664612,24.860893936157,1.2422756195068,30.88408241603229,16.242019112013907,4.772849472875498
tyto_static_powertrain_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Strongest selected FPV-like source: 2207 1980KV motor and Azure Vanover prop on about 6S voltage.,x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,,,,,,,,,,,,,,,,,3,13.0072998,1300.0,12960.00000000009,1357.1680263508,0.31988162087189814,3.1369670973234,0.036100526163101,24.807376022339,3.0799742126465,76.40607843222922,48.994479843001194,4.186599121896136
tyto_static_powertrain_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Strongest selected FPV-like source: 2207 1980KV motor and Azure Vanover prop on about 6S voltage.,x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,,,,,,,,,,,,,,,,,4,17.2972724,1400.0,16412.00000000042,1718.6606210239,0.528136340190014,5.179248240524401,0.05883701716068,24.724027252197,5.9858465957642,147.99423436114472,101.12086445256816,3.568627808170032
tyto_static_powertrain_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Strongest selected FPV-like source: 2207 1980KV motor and Azure Vanover prop on about 6S voltage.,x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,,,,,,,,,,,,,,,,,5,21.6006146,1500.0,19427.999999999523,2034.4954024647002,0.748864030041166,7.3438474402031995,0.083157370747887,24.600294494629,10.041950097084,247.03492968863466,169.1832884676286,3.0314094892776575
tyto_static_powertrain_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Strongest selected FPV-like source: 2207 1980KV motor and Azure Vanover prop on about 6S voltage.,x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,,,,,,,,,,,,,,,,,6,25.8800382,1600.0,22422.999999999705,2348.1310690481,1.0093457057148467,9.8983000649485,0.11284428520799,24.430374755859,15.496621341705,378.58826682749566,264.9731720614063,2.666077620875548
tyto_static_powertrain_sample,https://database.tytorobotics.com/tests/x3nm/five33-2207-azure-vanover,Strongest selected FPV-like source: 2207 1980KV motor and Azure Vanover prop on about 6S voltage.,x3nm,Five33 2207  Azure Vanover,Noah Brooks,docs/data/raw/tyto_fpv_static_powertrain/x3nm_five33-2207-azure-vanover.html,Five33 Headsup 2207 1980kv,Azure Power VanoverProp,,,,,,,,,,,,,,,,,,7,30.1760842,1700.0,25000.999999999865,2618.0985977466,1.2794663772018988,12.547278947987,0.14285765047121,24.213822555542,22.185563411713,537.1972957459436,374.01541437604874,2.381743890622629
