row_type,name,sample_name,torque_scale,swirl_power_scale,available_shaft_power_w,retained_swirl_power_w,max_axial_power_w,max_axial_power_scale,required_axial_reduction_fraction,energy_margin_with_current_axial_w,current_axial_retained,status,next_required_action,note
a4mc_l2_powered_source_energy_closure_manifold_source_inventory,energy_closure_manifold,source_description,,,,,,,,,,text,powered_source_energy_closure_inventory,Aerodynamics4McL2PoweredSourceEnergyClosureManifold samples current and peak torque energy closure bounds.
a4mc_l2_powered_source_energy_closure_manifold_source_inventory,joint_calibration_envelope,source_description,,,,,,,,,,text,powered_source_energy_closure_inventory,Joint calibration envelope supplies q1 and peak torque axial closure bounds.
a4mc_l2_powered_source_energy_closure_manifold_source_inventory,torque_closure_feasibility,source_description,,,,,,,,,,text,powered_source_energy_closure_inventory,Torque closure feasibility supplies qS minus M minus q2W energy terms.
a4mc_l2_powered_source_energy_closure_manifold_source_inventory,shaft_power_budget,source_description,,,,,,,,,,text,powered_source_energy_closure_inventory,Shaft power budget preserves upstream shaft versus wake power deficit evidence.
a4mc_l2_powered_source_energy_closure_manifold_source_inventory,hover_powered_source_chain,source_description,,,,,,,,,,text,powered_source_energy_closure_inventory,Hover source map and wake footprint provide hover axial and swirl wake inputs.
a4mc_l2_powered_source_energy_closure_manifold_source_inventory,cruise_powered_source_chain,source_description,,,,,,,,,,text,powered_source_energy_closure_inventory,Cruise source map and skew wake footprint provide forward flight axial and swirl wake inputs.
a4mc_l2_powered_source_energy_closure_manifold_source_inventory,aerodynamics4mc_core_reference,source_description,,,,,,,,,,text,powered_source_energy_closure_inventory,Future live A4MC powered source output should land on this audit-only energy closure manifold.
a4mc_l2_powered_source_energy_closure_manifold,hover:racingQuad,current_torque,1.0,1.0,205.9605675929757,23.12484596924582,182.83572162372988,1.7309188933484037,0.0,77.20643863055601,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,hover:racingQuad,peak_torque,4.453231123504275,1.0,917.1900098196454,458.5950049098227,458.5950049098227,4.341551811342492,0.0,352.9657219166488,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,hover:apDrone,current_torque,1.0,1.0,87.99624066785815,12.12293179862895,75.87330886922919,1.5274765779084016,0.0,26.20098657861591,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,hover:apDrone,peak_torque,3.629330022206762,1.0,319.3673980971892,159.6836990485946,159.6836990485946,3.214741966649916,0.0,110.01137675798132,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,hover:cinewhoop,current_torque,1.0,1.0,54.5043114712853,70.9727058153374,0.0,0.0,1.0,-155.75495423689642,false,ZERO_AXIAL_BUDGET_AT_SAMPLED_TORQUE,reduce-swirl-power-or-increase-motor-torque-before-axial-source-fit,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,hover:cinewhoop,peak_torque,0.3839807912431793,1.0,20.928608644908824,10.464304322454412,10.464304322454412,0.07512788262201889,0.9248721173779811,-128.8222555703899,false,AXIAL_SOURCE_REDUCTION_REQUIRED,calibrate-axial-source-map-wake-footprint-and-motor-torque-together,Audit-only closure sample with no runtime or gameplay auto-apply.
a4mc_l2_powered_source_energy_closure_manifold,hover:heavyLift,current_torque,1.0,1.0,655.5182484871883,104.38068856895153,551.1375599182368,1.282736812391068,0.0,121.48000694687056,true,CURRENT_WAKE_INSIDE_MANIFOLD,capture-live-motor-torque-curve-and-powered-wake-power-telemetry,Audit-only closure sample with no runtime or gameplay auto-apply.
