row_type,name,metric,value,unit,source_file,source_url,evidence_role,note,propeller_hash,propeller_title,propeller_brand,propeller_name,propeller_diameter_in,propeller_pitch_in,propeller_weight_g,propeller_material,benchmarks_count,test_hash,test_title,test_link,created_at,creator_name,device,powertrain_index,motor_title,motor_kv_rpm_per_v,esc_title,sample_index,time_s,throttle_us,rotation_speed_rpm,thrust_kgf,thrust_n,torque_nm,voltage_v,current_a,electrical_power_w,mechanical_power_w,motor_esc_efficiency_percent,propeller_efficiency_gf_per_w,overall_efficiency_gf_per_w,omega_rad_s,tip_speed_m_s,tip_mach_isa,static_thrust_k_n_per_rad_s2,static_ct,static_cp_from_mechanical_power,static_torque_coefficient,thrust_over_current_racing_max_per_rotor,rpm_over_current_racing_max,current_over_current_racing_per_motor_limit
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,public_test_count,1514,count,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,public_sample_count,174503,count,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,motor_count,120,count,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,propeller_count,189,count,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,candidate_5in_propeller_count,28,count,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,candidate_5in_benchmark_count_from_propeller_list,89,count,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,search_api_unique_test_count,89,count,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,parsed_sample_count,1548,count,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,has_airspeed_or_wind_speed_column,0,boolean,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,static_only,1,boolean,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,current_racingQuad_max_thrust_per_rotor_n,13.5,N,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,current_racingQuad_max_rpm,29137.6327495,rpm,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_source_inventory,Tyto Robotics public static database,current_racingQuad_thrust_k_n_per_rad_s2,1.45e-06,N/(rad/s)^2,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers,source_inventory,Tyto pages expose static propeller test data; no wind-speed/airspeed column was parsed in this packet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_propeller_inventory,Azure Power 5150,,,,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers/6r7/azure-power-5150,tyto_5in_candidate_propeller,Propeller list candidate normalized to 4.8..5.2 inches diameter; pitch values above 20 are interpreted as shorthand tenths.,6r7,Azure Power 5150,Azure Power,5150,5.1,5,5.2,HG.(High-grade) Polycarbonate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_propeller_inventory,Azure Power VanoverProp,,,,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers/w6x/azure-power-vanoverprop,tyto_5in_candidate_propeller,Propeller list candidate normalized to 4.8..5.2 inches diameter; pitch values above 20 are interpreted as shorthand tenths.,w6x,Azure Power VanoverProp,Azure Power,VanoverProp,5.1,,3.8,Polycarbonate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_propeller_inventory,Carbon Fiber 5030,,,,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers/ne4/carbon-fiber-5030,tyto_5in_candidate_propeller,Propeller list candidate normalized to 4.8..5.2 inches diameter; pitch values above 20 are interpreted as shorthand tenths.,ne4,Carbon Fiber 5030,,Carbon Fiber 5030,5,3,2.18,Carbon Fiber,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_propeller_inventory,DALPROP 5040 - Cyclone,,,,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers/mr5/dalprop-5040-cyclone,tyto_5in_candidate_propeller,Propeller list candidate normalized to 4.8..5.2 inches diameter; pitch values above 20 are interpreted as shorthand tenths.,mr5,DALPROP 5040 - Cyclone,DALPROP,5040 - Cyclone,5,4,4.4,Polycarbonate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_propeller_inventory,DALPROP 5045 - Cyclone,,,,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers/4zq/dalprop-5045-cyclone,tyto_5in_candidate_propeller,Propeller list candidate normalized to 4.8..5.2 inches diameter; pitch values above 20 are interpreted as shorthand tenths.,4zq,DALPROP 5045 - Cyclone,DALPROP,5045 - Cyclone,5,4.5,5.9,Polycarbonate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_propeller_inventory,DALPROP 5046 - Cyclone,,,,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers/ye5/dalprop-5046-cyclone,tyto_5in_candidate_propeller,Propeller list candidate normalized to 4.8..5.2 inches diameter; pitch values above 20 are interpreted as shorthand tenths.,ye5,DALPROP 5046 - Cyclone,DALPROP,5046 - Cyclone,5,4.6,5.7,Polycarbonate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_propeller_inventory,DALPROP 5047 - Cyclone,,,,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers/kze/dalprop-5047-cyclone,tyto_5in_candidate_propeller,Propeller list candidate normalized to 4.8..5.2 inches diameter; pitch values above 20 are interpreted as shorthand tenths.,kze,DALPROP 5047 - Cyclone,DALPROP,5047 - Cyclone,5,4.7,5.6,Polycarbonate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyto_5in_static_packet_propeller_inventory,DALPROP 5050 - Cyclone,,,,docs/data/tyto_5in_static_prop_packet.csv,https://database.tytorobotics.com/propellers/py5/dalprop-5050-cyclone,tyto_5in_candidate_propeller,Propeller list candidate normalized to 4.8..5.2 inches diameter; pitch values above 20 are interpreted as shorthand tenths.,py5,DALPROP 5050 - Cyclone,DALPROP,5050 - Cyclone,5,5,5.8,Polycarbonate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
