row_type,name,source,lookup_z_over_d,input_envelope_csv,input_point_count,note,group_key,group_display,prop_diameter_in,motor_kv,nominal_voltage_v,motor_model,target_fraction_common_max,lower_source_z_over_d,upper_source_z_over_d,z_sample_count,target_total_thrust_g,actual_total_thrust_g,actual_thrust_error_percent,recommended_pwm_ratio_right_over_left,recommended_left_pwm_scale_vs_equal,recommended_right_pwm_scale_vs_equal,equal_pwm_mean,recommended_pwm_left,recommended_pwm_right,mechanical_gain_over_equal_percent,electrical_gain_over_equal_percent,equal_mechanical_efficiency_g_per_mech_w,recommended_mechanical_efficiency_g_per_mech_w,equal_electrical_efficiency_g_per_w,recommended_electrical_efficiency_g_per_w,current_model_hover_wake_loss_percent,current_model_max_wake_loss_percent,input_runtime_lookup_csv,current_coaxial_diameter_in,nearest_reference_group,nearest_reference_prop_diameter_in,group_count,model_target_fraction_count,reference_target_total_thrust_g,all_group_ratio_median,all_group_ratio_p10,all_group_ratio_p90,all_group_mechanical_gain_median_percent,all_group_mechanical_gain_p10_percent,all_group_mechanical_gain_p90_percent,all_group_electrical_gain_median_percent,all_group_electrical_gain_p10_percent,all_group_electrical_gain_p90_percent,group_sample_count
coaxial_runtime_allocation_inventory,coaxialX8 zD 0.72 command-envelope lookup,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,81,"Derived from raw 10x10 command-map envelope points by linear interpolation in z/D; use as an initial runtime lookup, not a continuous optimizer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coaxial_runtime_allocation_lookup,11.0in 910kv 11V propdrivev2 zD 0.72 lookup 0.35,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,,Linear z/D interpolation of the raw command-map mechanical-efficiency envelope at the current coaxialX8 spacing.,11.0in_910kv_11V_propdrivev2,11.0in 910kv 11V propdrivev2,11.0,910.0,11.0,propdrivev2,0.35,0.7,0.85,7,626.8249339275,622.939234954,-0.6199017880723562,1.1434392831646552,0.9187140363643969,1.0504937191738128,1483.95831459709,1363.333333,1558.888889,5.194971593971521,5.246829881486663,11.019739611115613,11.592538072179163,8.037085969870716,8.458728552465226,6.989344325965912,19.005727272727267,,,,,,,,,,,,,,,,,
coaxial_runtime_allocation_lookup,11.0in 910kv 11V propdrivev2 zD 0.72 lookup 0.60,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,,Linear z/D interpolation of the raw command-map mechanical-efficiency envelope at the current coaxialX8 spacing.,11.0in_910kv_11V_propdrivev2,11.0in 910kv 11V propdrivev2,11.0,910.0,11.0,propdrivev2,0.6,0.7,0.85,7,1074.55702959,1047.4143527793333,-2.525941021578263,1.3275111760369225,0.8273247949792291,1.0951456701913105,1679.3977595802821,1389.4074071333334,1839.1851849333334,4.405006058107876,2.842254411676719,8.355721565267636,8.724034836313038,6.9162572393736,7.1128257844294716,6.989344325965912,19.005727272727267,,,,,,,,,,,,,,,,,
coaxial_runtime_allocation_lookup,11.0in 910kv 11V propdrivev2 zD 0.72 lookup 0.85,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,,Linear z/D interpolation of the raw command-map mechanical-efficiency envelope at the current coaxialX8 spacing.,11.0in_910kv_11V_propdrivev2,11.0in 910kv 11V propdrivev2,11.0,910.0,11.0,propdrivev2,0.85,0.7,0.85,7,1522.2891252525,1484.6996253546665,-2.469274678133078,1.1770623740086394,0.899895308471751,1.059232908148996,1840.9548882007591,1656.666667,1950.0,5.832051967602827,3.8850201290031703,7.1045222897323255,7.518686600048283,6.098361204300372,6.335265012958805,6.989344325965912,19.005727272727267,,,,,,,,,,,,,,,,,
coaxial_runtime_allocation_lookup,16.2in 400kv 22V MN4014 T zD 0.72 lookup 0.35,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,,Linear z/D interpolation of the raw command-map mechanical-efficiency envelope at the current coaxialX8 spacing.,16.2in_400kv_22V_MN4014T,16.2in 400kv 22V MN4014 T,16.2,400.0,22.0,MN4014 T,0.35,0.7,0.85,7,1429.5557348764999,1440.5788132346665,0.7710841969459279,1.1434392831646552,0.9163987923106458,1.0478463781726404,1487.70747456185,1363.333333,1558.888889,3.679861162308692,5.867133460846334,10.773378852885738,11.16968611718814,9.392121151245561,9.94318749631272,6.989344325965912,19.005727272727267,,,,,,,,,,,,,,,,,
coaxial_runtime_allocation_lookup,16.2in 400kv 22V MN4014 T zD 0.72 lookup 0.60,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,,Linear z/D interpolation of the raw command-map mechanical-efficiency envelope at the current coaxialX8 spacing.,16.2in_400kv_22V_MN4014T,16.2in 400kv 22V MN4014 T,16.2,400.0,22.0,MN4014 T,0.6,0.7,0.85,7,2450.666974074,2493.425735408,1.744780575506665,1.1705280144164862,0.9095819254834238,1.057831764714377,1670.8530978400909,1519.7777779333333,1767.4814810666667,2.978505712977655,3.490022717304205,8.443723784504177,8.695095933948418,7.632888426318984,7.898739986802553,6.989344325965912,19.005727272727267,,,,,,,,,,,,,,,,,
coaxial_runtime_allocation_lookup,16.2in 400kv 22V MN4014 T zD 0.72 lookup 0.85,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,,Linear z/D interpolation of the raw command-map mechanical-efficiency envelope at the current coaxialX8 spacing.,16.2in_400kv_22V_MN4014T,16.2in 400kv 22V MN4014 T,16.2,400.0,22.0,MN4014 T,0.85,0.7,0.85,7,3471.7782132715,3430.7000749373337,-1.1832016854399874,1.1770623740086394,0.8963111591996495,1.055014140897975,1848.3164579578602,1656.666667,1950.0,7.580661418083006,6.392597377873028,7.035658665873212,7.568961691437755,6.490720697092003,6.905655710192023,6.989344325965912,19.005727272727267,,,,,,,,,,,,,,,,,
coaxial_runtime_allocation_lookup,16.2in 400kv 22V U5 T zD 0.72 lookup 0.35,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,,Linear z/D interpolation of the raw command-map mechanical-efficiency envelope at the current coaxialX8 spacing.,16.2in_400kv_22V_U5T,16.2in 400kv 22V U5 T,16.2,400.0,22.0,U5 T,0.35,0.7,1.0,6,1418.2424422354998,1375.284173928,-3.0289791807236375,1.1434392831646552,0.9130129113387156,1.0439748288612158,1493.224593068456,1363.333333,1558.888889,6.932293897343216,7.207747457594997,10.638362547829807,11.376007307285901,10.17122159249315,10.904384454513243,6.979715978693185,18.97954545454545,,,,,,,,,,,,,,,,,
coaxial_runtime_allocation_lookup,16.2in 400kv 22V U5 T zD 0.72 lookup 0.60,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,,Linear z/D interpolation of the raw command-map mechanical-efficiency envelope at the current coaxialX8 spacing.,16.2in_400kv_22V_U5T,16.2in 400kv 22V U5 T,16.2,400.0,22.0,U5 T,0.6,0.7,1.0,6,2431.2727581179997,2332.344179606,-4.069003701114072,1.4410232592014094,0.7648032851722124,1.0984266210114482,1680.315888345017,1285.1111115333333,1845.7037034666669,2.204439303330119,-1.9111842585874161,8.418384669893031,8.604007399416053,7.912321300077008,7.760891269791954,6.979715978693185,18.97954545454545,,,,,,,,,,,,,,,,,
coaxial_runtime_allocation_lookup,16.2in 400kv 22V U5 T zD 0.72 lookup 0.85,https://github.com/newdexterity/Coaxial-Benchmarking-Platform/blob/main/Data.rar,0.72,docs/data/coaxial_benchmark_command_map_envelope.csv,,Linear z/D interpolation of the raw command-map mechanical-efficiency envelope at the current coaxialX8 spacing.,16.2in_400kv_22V_U5T,16.2in 400kv 22V U5 T,16.2,400.0,22.0,U5 T,0.85,0.7,1.0,6,3444.3030740004997,3371.6260422273335,-2.1100649452649067,1.1770623740086394,0.8983753885076106,1.0574438675477018,1844.0695150298695,1656.666667,1950.0,5.621967403836761,4.973606911878597,7.060093988160693,7.4570097143239975,6.658493135463874,6.989680909080014,6.979715978693185,18.97954545454545,,,,,,,,,,,,,,,,,
